CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;ITR;136703;2024-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136703
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;ITR;140502;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140502
00.000.000/0001-91;2024-09-30;1;BCO BRASIL S.A.;001023;ITR;143102;2024-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143102
00.000.208/0001-00;2024-03-31;1;BRB BANCO DE BRASILIA S.A.;014206;ITR;139761;2024-07-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139761
00.000.208/0001-00;2024-03-31;2;BRB BANCO DE BRASILIA S.A.;014206;ITR;143468;2024-11-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143468
00.000.208/0001-00;2024-06-30;1;BRB BANCO DE BRASILIA S.A.;014206;ITR;143469;2024-11-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143469
00.000.208/0001-00;2024-06-30;2;BRB BANCO DE BRASILIA S.A.;014206;ITR;143992;2024-12-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143992
00.000.208/0001-00;2024-06-30;3;BRB BANCO DE BRASILIA S.A.;014206;ITR;146299;2025-04-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146299
00.000.208/0001-00;2024-06-30;4;BRB BANCO DE BRASILIA S.A.;014206;ITR;146319;2025-04-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146319
00.000.208/0001-00;2024-09-30;1;BRB BANCO DE BRASILIA S.A.;014206;ITR;143643;2024-12-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143643
00.000.208/0001-00;2024-09-30;2;BRB BANCO DE BRASILIA S.A.;014206;ITR;146298;2025-04-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146298
00.000.208/0001-00;2024-09-30;3;BRB BANCO DE BRASILIA S.A.;014206;ITR;146320;2025-04-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146320
00.001.180/0001-26;2024-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;136783;2024-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136783
00.001.180/0001-26;2024-03-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;137316;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137316
00.001.180/0001-26;2024-03-31;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;140307;2024-07-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140307
00.001.180/0001-26;2024-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;140507;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140507
00.001.180/0001-26;2024-06-30;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;141372;2024-08-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141372
00.001.180/0001-26;2024-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;142618;2024-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142618
00.070.698/0001-11;2024-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;137290;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137290
00.070.698/0001-11;2024-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;140931;2024-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140931
