CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;2865417020;0;2865417020;11446282;0;11446282
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;5730834040;0;5730834040;22892564;0;22892564
00.000.000/0001-91;2024-09-30;1;BCO BRASIL S.A.;5730834040;0;5730834040;22876034;0;22876034
00.000.208/0001-00;2024-03-31;2;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.000.208/0001-00;2024-06-30;4;BRB BANCO DE BRASILIA S.A.;280146500;82900000;363046500;0;0;0
00.000.208/0001-00;2024-09-30;3;BRB BANCO DE BRASILIA S.A.;284785449;113056415;397841864;0;0;0
00.001.180/0001-26;2024-03-31;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;49810;6842;56652
00.001.180/0001-26;2024-06-30;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;49670;6842;56512
00.001.180/0001-26;2024-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;51377;6842;58219
00.070.698/0001-11;2024-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2024-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2024-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.192.769/0001-59;2024-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.192.769/0001-59;2024-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.194.724/0001-13;2024-03-31;1;AUREN OPERAÇÕES S.A.;2014441535;0;2014441535;0;0;0
00.194.724/0001-13;2024-06-30;1;AUREN OPERAÇÕES S.A.;2014441535;0;2014441535;0;0;0
00.194.724/0001-13;2024-09-30;1;AUREN OPERAÇÕES S.A.;2031549574;0;2031549574;0;0;0
00.242.184/0001-04;2024-03-31;2;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346016041;0;346016041;378947;0;378947
00.242.184/0001-04;2024-06-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;363409;0;363409
00.242.184/0001-04;2024-09-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;345597;0;345597
00.272.185/0001-93;2024-03-31;1;CIMS S.A.;26286458;52572756;78859214;0;0;0
00.272.185/0001-93;2024-06-30;1;CIMS S.A.;26286458;52572756;78859214;0;0;0
00.272.185/0001-93;2024-09-30;1;CIMS S.A.;26286458;52572756;78859214;0;0;0
00.336.701/0001-04;2024-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.336.701/0001-04;2024-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.336.701/0001-04;2024-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.357.038/0001-16;2024-03-31;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;168044751;0;168044751;10713;0;10713
00.357.038/0001-16;2024-06-30;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;168034038;0;168034038;10713;0;10713
00.357.038/0001-16;2024-09-30;2;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;168034038;0;168034038;10713;0;10713
00.359.742/0001-08;2024-03-31;1;FICTOR ALIMENTOS S.A.;23805;0;23805;0;0;0
00.359.742/0001-08;2024-06-30;1;FICTOR ALIMENTOS S.A.;23805;0;23805;879;0;879
00.359.742/0001-08;2024-09-30;1;FICTOR ALIMENTOS S.A.;23805;0;23805;379;0;379
00.383.281/0001-09;2024-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.383.281/0001-09;2024-06-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.383.281/0001-09;2024-09-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2024-03-31;2;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;212;0;212;0;0;0
00.389.481/0001-79;2024-06-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;212;0;212;0;0;0
00.389.481/0001-79;2024-09-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;212;0;212;0;0;0
00.622.416/0001-41;2024-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;645753340;0;645753340;0;0;0
00.622.416/0001-41;2024-06-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;645753340;0;645753340;0;0;0
00.622.416/0001-41;2024-09-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;645753340;0;645753340;0;0;0
00.644.907/0001-93;2024-03-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.644.907/0001-93;2024-06-30;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.644.907/0001-93;2024-09-30;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2024-03-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.743.065/0001-27;2024-06-30;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.743.065/0001-27;2024-09-30;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2024-03-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;902529503;0;902529503;7416;0;7416
00.776.574/0001-56;2024-06-30;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;902529503;0;902529503;7416;0;7416
