date,ABCB4.SA,ABEV3.SA,ALOS3.SA,ALPA4.SA,ALUP11.SA,ARML3.SA,ASAI3.SA,AURE3.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BHIA3.SA,BLAU3.SA,BMGB4.SA,BMOB3.SA,BOVA11.SA,BPAC11.SA,BPAN4.SA,BRAP4.SA,BRAV3.SA,BRFS3.SA,BRKM5.SA,CASH3.SA,CBAV3.SA,CCRO3.SA,CEAB3.SA,CMIG3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CVCB3.SA,CXSE3.SA,CYRE3.SA,DASA3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FESA4.SA,FLRY3.SA,FRAS3.SA,GGBR4.SA,GGPS3.SA,GMAT3.SA,GOAU4.SA,GOLL4.SA,GRND3.SA,GUAR3.SA,HAPV3.SA,HBSA3.SA,HYPE3.SA,IGTI11.SA,INTB3.SA,IRBR3.SA,ISAE4.SA,ITSA3.SA,ITSA4.SA,ITUB3.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,JSLG3.SA,KLBN11.SA,KLBN3.SA,KLBN4.SA,LAVV3.SA,LEVE3.SA,LIGT3.SA,LREN3.SA,LWSA3.SA,MATD3.SA,MDIA3.SA,MGLU3.SA,MILS3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,MYPK3.SA,NEOE3.SA,NTCO3.SA,ODPV3.SA,ONCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PGMN3.SA,PLPL3.SA,PNVL3.SA,POMO3.SA,POMO4.SA,PORT3.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RANI3.SA,RAPT4.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SANB3.SA,SANB4.SA,SAPR3.SA,SAPR4.SA,SBFG3.SA,SBSP3.SA,SIMH3.SA,SLCE3.SA,SMFT3.SA,SMTO3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TEND3.SA,TIMS3.SA,TOTS3.SA,TTEN3.SA,TUPY3.SA,UGPA3.SA,USIM3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,VLID3.SA,VULC3.SA,WEGE3.SA,YDUQ3.SA,BRAX11.SA
2020-07-01,10.143200,11.229900,25.174800,28.439600,20.156200,,,,20.670000,43.356100,16.211600,10.728000,11.199100,12.984400,18.869800,10.180300,349.750900,,3.193400,,92.680000,17.085000,7.936200,16.168400,,19.938400,20.425000,,,13.287800,9.506600,2.836300,3.119300,,6.784000,18.233200,3.628800,3.772400,17.530900,16.758200,11.107300,6.774300,,19.090000,,18.915200,63.737700,11.123400,8.901800,13.163500,30.914500,26.747700,24.943800,8.091600,11.595000,41.122200,20.988900,36.496800,3.623100,18.787600,4.769700,7.759300,,,4.223800,19.020000,4.904400,16.002000,12.512900,,27.831100,,,304.802000,13.996900,5.959600,6.087600,14.720000,17.160200,14.469900,5.616000,,12.168200,3.065900,2.925700,,9.397600,15.732500,28.723400,11.597600,,35.051200,174.932300,5.061200,11.680000,7.597300,16.950100,17.634300,11.315300,15.232000,38.454700,9.608300,,2.095800,7.069300,6.342300,,,,27.824000,1.544900,1.778600,,6.888600,18.402500,25.837700,21.141700,22.766400,,3.248400,8.000100,,,37.578400,22.173000,10.345400,10.577400,5.078600,4.699000,29.506600,52.894300,5.984400,7.435000,,17.484400,3.939500,32.998600,19.655300,29.951500,10.662800,22.267900,,16.446300,16.336900,6.500800,5.921000,32.913700,,15.503700,19.288600,17.526700,8.355100,3.716700,24.428600,31.279700,80.250000
2020-07-03,10.222700,11.057900,24.702400,28.498000,20.406300,,,,21.150000,44.042700,16.347600,10.867500,11.286300,13.101000,18.910700,10.465800,340.126700,,3.210800,,93.190000,17.780500,8.152600,16.419300,,19.636900,20.041400,,,13.128100,9.282200,2.826800,3.108200,,7.007800,18.227300,3.613000,3.790400,17.759500,16.910200,10.954100,6.851100,,19.710000,,19.492600,61.286300,11.591000,9.210900,13.326900,32.509300,26.723100,25.166200,8.181500,11.947500,40.311700,21.243000,36.970500,3.439300,18.689600,4.821900,7.874600,,,4.343300,19.560000,4.949100,15.794200,12.099700,,27.201500,,,288.979700,14.056000,6.141300,6.199500,14.859200,17.423200,15.204100,6.477300,,12.191000,3.073100,2.947000,,9.523700,16.330700,28.425200,11.733800,,34.930000,174.206400,6.140200,11.828400,7.585000,17.429500,17.971000,11.147900,15.768800,39.428500,9.508400,,2.093200,7.113600,6.421200,,,,28.518400,1.528100,1.797100,,6.954400,18.694200,25.306800,20.895600,22.290700,,3.160200,8.399800,,,37.889000,22.196400,10.301300,10.695300,5.109400,4.744300,29.726400,51.978300,6.040900,7.523100,,17.005800,3.966800,33.114100,19.593200,31.131700,11.237600,22.689900,,16.437700,16.015400,6.558000,6.017800,33.348200,,15.788100,19.105400,17.899900,8.620900,3.730900,25.083500,31.343300,80.800000
2020-09-02,10.126300,9.978700,23.663100,36.415200,19.931100,,,,23.140000,53.655300,17.351600,10.934500,11.408900,12.987500,19.128800,10.251700,450.804600,,3.210800,,98.150000,18.706800,7.616000,20.411200,,19.889800,18.166000,,,12.516000,11.843500,2.971500,3.230400,,5.771700,18.197000,3.808100,3.980700,18.264100,17.690700,9.270300,9.761600,,18.500000,,18.892600,62.766900,11.123400,11.014400,12.865700,32.204400,32.295400,29.389500,7.562200,12.315000,38.193700,21.214700,35.144400,3.456000,21.290600,4.691500,9.919700,,,5.376900,18.860000,5.345000,17.032000,13.470400,,27.923500,,,210.300000,14.187900,5.707400,5.988300,14.022900,16.036400,15.626700,5.126700,,14.830600,3.906100,3.536400,5.868700,8.827600,15.067900,31.600600,16.149100,,32.392300,226.622300,6.046000,14.161100,10.760200,16.497800,18.476100,9.139900,15.047700,48.603000,8.912700,,1.860100,7.440900,6.660800,,8.371500,,23.900700,1.505700,1.766400,,8.661600,19.217200,28.492200,20.531100,21.963600,,3.416500,8.698600,,,45.298100,22.551100,10.078600,11.166200,4.455300,4.110700,29.167700,45.171200,7.697100,8.192800,,19.873700,3.768800,43.545000,20.279300,29.254200,11.068100,28.055600,,14.289200,18.031400,8.926300,8.631500,37.005300,,16.032500,23.989400,17.782800,7.876600,4.525300,31.092800,25.198300,84.700000
2020-09-03,10.075100,9.853600,23.233600,36.405500,19.855900,,,,23.990000,52.553100,16.729500,11.105500,11.845600,13.497900,18.946100,10.061400,419.744800,,3.100100,,96.960000,18.339800,7.832300,19.973300,,19.315900,17.918800,,,12.241100,11.703300,2.976800,3.245300,,5.645200,18.435200,3.823300,3.914400,18.468800,17.151700,9.207800,9.614500,,18.100000,,18.884800,,10.641600,11.027400,12.606300,31.800300,31.328400,29.102200,7.432300,12.147500,37.369400,20.921700,34.248600,3.340900,20.883500,4.561200,9.714200,,,5.269400,19.270000,5.332200,16.489900,13.289600,,27.386200,,,205.200000,14.062200,5.777200,6.113200,14.205300,16.425900,15.245700,4.975700,,14.716200,3.841400,3.515100,5.777400,8.878000,14.925500,31.676800,14.909100,,32.141100,214.480500,5.874700,14.119900,10.379400,16.479800,18.240400,9.211600,14.783300,47.992000,8.852100,,1.811300,7.440900,6.684200,,8.452700,,23.702200,1.511300,1.772500,,8.659600,18.993100,27.899400,20.341500,21.983400,,3.402800,8.572200,,,44.978700,23.313800,10.448000,11.433500,4.378400,4.103200,28.664100,43.994800,7.500300,8.090000,,19.398000,3.652800,42.647600,20.101900,29.083300,10.913400,26.429700,,14.417100,18.231300,8.665000,8.381400,35.798400,,15.966900,23.824400,17.874300,7.663900,4.390500,29.985200,25.052900,84.550000
2020-09-04,10.140900,9.853600,23.534300,36.084500,19.881000,,,,24.590000,53.149400,16.877100,11.164700,11.828100,13.510200,18.967200,10.093100,413.401600,,3.111800,,97.420000,18.042700,8.005400,20.210500,,19.432600,18.651900,,,12.773300,11.862200,2.984900,3.206700,,5.849600,18.397600,3.922100,3.964600,18.353100,17.189800,9.240000,9.576100,,18.070000,,18.535100,62.757100,10.747900,11.008000,13.009800,31.800300,31.191500,28.830500,7.402300,12.162500,37.876000,21.117000,34.196900,3.437600,21.479000,4.691500,9.984800,,,5.418700,19.980000,5.415300,16.209800,13.192300,,27.092300,,,208.500000,14.088700,5.798600,6.100700,14.442300,16.478700,15.148700,5.112300,,14.571300,3.877300,3.479500,5.627400,9.105000,14.555200,32.099800,15.244600,,32.045800,215.134900,6.294300,14.227100,10.268900,16.217500,18.728600,9.880900,14.903500,47.209200,8.771300,,1.825700,7.450500,6.695900,,8.452700,,23.981800,1.550500,1.846400,,8.795400,19.121100,30.040700,20.480000,22.142000,,3.539500,8.967200,,,45.031900,23.911400,10.677100,11.804700,4.386100,4.110700,28.361800,44.147400,7.308000,8.125400,,19.233900,3.632300,42.238900,20.165700,29.007300,10.861800,25.950300,,14.195400,18.674500,8.803800,8.591200,36.504400,,16.309400,23.384600,17.921900,8.150000,4.489800,30.013100,25.252800,84.600000
2020-09-08,10.045900,9.658000,24.410300,36.172000,20.006100,,,,26.260000,52.959600,16.503900,10.937800,11.601100,13.295000,18.672200,9.958300,396.996800,,3.047700,,96.800000,17.565500,7.918900,19.859200,,19.306200,18.924700,,,12.870900,11.843500,2.941900,3.185900,,5.985900,18.504100,3.840400,3.988100,18.486600,16.999700,9.262700,9.633700,,18.000000,,18.612800,62.757100,11.059700,11.104600,13.086700,32.417500,31.123100,28.760700,7.352400,12.287500,37.592700,21.037100,34.188300,3.403900,21.456400,4.700200,9.869600,,,5.335100,20.390000,5.351400,16.372400,13.377000,,26.521400,,,201.600000,14.201100,5.793300,6.019500,14.126200,16.109000,15.134900,5.263300,,14.266100,3.748100,3.394400,5.392700,9.100000,14.697600,32.009700,14.466600,,32.002500,212.517500,5.994600,14.746400,10.029400,16.181300,19.486100,9.769400,15.240000,46.493200,8.858800,,1.803200,7.191800,6.503100,,8.412100,,23.900700,1.556100,1.846400,,8.260300,18.669300,30.456600,20.906500,21.864500,,3.587300,9.062000,,,47.676200,23.518300,10.521900,11.678500,4.455300,4.231400,28.197000,44.174400,7.301200,8.080400,,19.176500,3.748300,41.563600,20.407000,29.206700,11.046000,26.034900,,14.425600,18.700600,8.803800,8.502400,35.768200,,16.739400,23.485400,18.002400,8.028500,4.511100,29.319600,26.134600,83.840000
2020-09-09,9.885200,9.658000,23.860600,36.133100,20.272900,,,,26.220000,54.405100,16.856800,10.924600,11.630200,13.258100,18.686200,10.045500,404.871100,,3.082600,,97.500000,18.384900,7.884300,19.950400,,19.335400,18.899100,,,13.128100,12.021100,3.087000,3.325600,,5.742500,19.080800,3.716600,4.109000,18.575600,17.511800,9.338400,10.113500,,17.710000,,19.024700,63.747500,11.215500,11.310800,13.115500,33.284500,31.131600,28.582100,7.182600,12.405000,38.477100,21.419000,35.265000,3.420800,21.644900,4.656800,10.290600,,,5.597900,19.840000,5.351400,16.146600,13.565800,,26.546600,,,195.300000,14.287100,5.852300,6.044500,14.047200,16.128800,15.238800,5.177000,,14.510200,3.776800,3.444100,5.392700,8.908300,14.916000,31.968100,14.381500,,31.950600,221.024000,5.943200,14.820600,9.992500,16.470700,19.191500,9.865000,15.352200,48.421600,8.906000,,1.793400,7.351500,6.640400,,8.363300,,23.945700,1.561700,1.840200,,8.248300,18.765400,30.527400,20.676900,21.884300,,3.669300,9.164700,,,48.687700,23.361000,10.507100,11.663600,4.516900,4.276600,27.720800,44.991600,7.253700,8.061100,,19.603000,3.536700,41.803500,20.747600,29.529500,11.259700,27.144000,,14.186900,19.013400,9.228500,9.042900,36.208700,,16.826800,23.641200,18.478000,7.800600,4.468500,30.217800,25.443700,84.800000
2020-09-10,9.658700,9.626800,23.336700,35.880200,19.822600,,,,26.100000,51.459900,16.202900,10.697700,11.240200,12.821500,18.461400,10.251700,394.153300,,3.047700,,95.040000,17.813100,7.650600,19.631100,,20.055100,18.634800,,,12.728900,11.553700,3.062800,3.278000,,5.723100,18.667100,3.791000,4.005500,18.290800,16.896800,9.215400,9.838400,,17.060000,,18.682800,63.737700,10.854200,11.040200,12.731200,32.564400,30.036300,27.922300,7.002700,11.945000,37.549700,20.788500,34.420800,3.407700,21.577000,4.561200,9.949800,,,5.382900,20.250000,5.191700,15.902600,13.040000,,26.689300,,,189.000000,14.055600,5.718100,5.907100,13.810100,15.785500,15.605900,5.004500,7.563500,14.380500,3.798300,3.451200,5.347000,8.792300,14.327300,30.553700,13.856300,,31.838000,213.874700,5.917500,14.342500,10.195200,16.099900,18.787500,9.904800,14.879400,47.495600,8.555700,,2.058900,7.073700,6.462200,,8.208900,,23.224200,1.522500,1.797100,,7.904900,18.402500,29.518700,20.527400,21.259900,,3.553200,8.990900,,,46.143600,22.645500,10.145100,11.314700,4.455300,4.133300,27.070600,43.213500,7.138300,7.987300,,19.439000,3.550300,41.181600,20.385700,28.855400,10.883900,26.542500,,14.204000,18.683200,8.967200,8.704100,35.321600,,16.389600,23.027200,17.709600,7.572800,4.355000,29.049700,24.825600,82.690000
2020-09-11,9.454100,9.415600,23.027500,36.026100,19.589100,,,,26.580000,50.366800,16.208700,10.556800,10.984000,12.581700,17.892400,10.251700,392.840900,,2.936900,,94.480000,17.583500,7.382300,20.484200,,19.549400,18.438800,,,12.622500,11.048900,3.009000,3.197800,,5.547900,18.077900,3.811700,3.923000,18.228500,16.606100,9.031900,10.235000,,16.880000,,18.387500,63.737700,10.747900,10.950100,12.471700,31.587200,29.437300,27.627300,6.802900,11.725000,37.524000,20.300100,33.809300,3.278400,20.936200,4.526500,9.979800,,,5.406800,19.760000,4.955500,15.306200,12.649800,,25.732300,,,181.200000,13.929900,5.669800,5.788500,13.621700,15.600600,15.605900,5.198600,7.268600,14.136400,3.697800,3.366000,5.171000,8.706500,13.928500,29.881200,14.194300,,30.850600,212.226700,6.003200,13.864400,9.900400,15.647600,18.324500,9.873000,14.342600,49.280900,8.245800,,2.140600,7.038500,6.392100,,8.046300,,21.970600,1.516900,1.754000,,7.908900,18.036100,28.545300,20.687800,20.833700,,3.566800,9.046200,,,44.917100,22.362400,9.975100,11.247900,4.309100,4.042800,25.916700,42.162800,7.050000,7.846100,,19.102700,3.413800,40.515200,20.137400,28.798400,10.640700,25.987900,,13.743600,18.735300,8.869200,8.567000,37.385500,,16.112600,23.137200,17.559600,7.215800,4.312500,28.896100,25.352800,82.300000
2020-09-14,9.731700,9.830100,23.998100,36.240100,19.539000,,,,28.250000,51.649600,16.992800,10.675600,11.152800,12.729200,18.166400,10.521300,401.808900,,2.989400,,96.510000,18.342100,7.555400,20.324500,,20.171800,18.745600,,,13.163600,12.133300,3.084300,3.215600,,5.820400,18.836300,3.861700,4.001800,18.317500,16.601600,9.052700,10.363000,,17.640000,,19.125700,66.924600,10.953400,11.362300,13.067500,31.800300,29.411600,27.495400,6.892900,11.940000,38.674600,20.637500,35.308100,3.417000,21.863500,4.674200,10.165300,,,5.460500,21.200000,5.032100,15.740000,13.143500,,26.227600,,,183.600000,13.956400,5.712700,5.857200,13.804100,15.877900,16.076900,5.500600,7.332300,14.456800,3.712200,3.472500,5.294800,9.064700,14.071000,31.184600,14.838600,,32.331700,218.842900,5.968900,14.663900,10.139900,16.199400,19.107400,10.821200,14.454800,50.846500,8.474900,,2.132200,6.968300,6.333600,,7.940700,,22.223100,1.550500,1.846400,,7.787100,18.406100,29.332800,20.769800,21.299500,,3.580500,9.630800,,,46.952300,22.511800,10.063800,11.210700,4.347600,4.080500,26.759200,42.791400,7.224300,7.871700,,19.086300,3.543500,40.977200,20.293500,29.415600,10.699700,27.115800,,14.246600,19.421800,9.106000,8.752500,37.361400,,16.214700,23.448700,17.563300,7.489200,4.461400,29.473200,27.370900,83.800000
