Ticker,Evento
BBAS3.SA,2024-04-16 2:1 split
BHIA3.SA,2023-12-28 1:25 split
CASH3.SA,2023-06-01 10:100 split
CMIG4.SA,2024-04-30 130:100 split
FLRY3.SA,2023-06-13 21:20 split
GGBR4.SA,2023-03-22 21:20 split
GGBR4.SA,2024-04-18 6:5 split
HAPV3.SA,2025-06-06 1:15 split
ITSA4.SA,2023-08-18 1187:1182 split
ITSA4.SA,2023-11-28 21:20 split
ITSA4.SA,2024-12-03 21:20 split
ITSA4.SA,2025-02-18 685:682 split
ITUB4.SA,2025-03-18 110:100 split
KLBN11.SA,2024-05-07 11:10 split
LREN3.SA,2024-12-12 11:10 split
MGLU3.SA,2024-05-27 1:10 split
RADL3.SA,2023-05-22 26:25 split
SLCE3.SA,2023-05-09 11:10 split
SLCE3.SA,2023-12-14 2:1 split
VIVT3.SA,2025-04-15 80:40 split
ALUP11.SA,2023-04-18 104:100 split
ALUP11.SA,2024-04-22 104:100 split
ALUP11.SA,2025-04-17 104:100 split
BBAS3.SA,2024-04-16 2:1 split
CMIG3.SA,2024-04-30 130:100 split
CMIG4.SA,2024-04-30 130:100 split
FESA4.SA,2024-01-24 4:1 split
FLRY3.SA,2023-06-13 21:20 split
GGBR4.SA,2023-03-22 21:20 split
GGBR4.SA,2024-04-18 6:5 split
HAPV3.SA,2025-06-06 1:15 split
ITSA3.SA,2023-11-28 105:100 split
ITSA3.SA,2024-12-03 105:100 split
ITSA4.SA,2023-08-18 1187:1182 split
ITSA4.SA,2023-11-28 21:20 split
ITSA4.SA,2024-12-03 21:20 split
ITSA4.SA,2025-02-18 685:682 split
ITUB3.SA,2025-03-18 110:100 split
ITUB4.SA,2025-03-18 110:100 split
KLBN11.SA,2024-05-07 11:10 split
KLBN3.SA,2024-05-07 11:10 split
KLBN4.SA,2024-05-07 11:10 split
LREN3.SA,2024-12-12 11:10 split
MGLU3.SA,2024-05-27 1:10 split
POMO3.SA,2024-03-08 12:10 split
POMO4.SA,2024-03-08 12:10 split
RADL3.SA,2023-05-22 26:25 split
SLCE3.SA,2023-05-09 11:10 split
SLCE3.SA,2023-12-14 2:1 split
VIVT3.SA,2025-04-15 80:40 split
