date,ABEV3.SA,ALOS3.SA,ALPA4.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BHIA3.SA,BOVA11.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRAX11.SA,BRFS3.SA,BRKM5.SA,CASH3.SA,CBAV3.SA,CCRO3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MDIA3.SA,MGLU3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SIMH3.SA,SLCE3.SA,SMTO3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2020-05-28,41358600,5442300,1698200,11324600,787300,31933833,20581000,7677571,44381711,3941600,7407400,5795946,12827420,11788400,1889500,,2910,7729300,6043600,,,9985800,24916241,,77752800,4130100,13487000,8414300,2067800,14141100,6497300,10835800,1716173,2109151,4828500,1938800,5266200,2189700,19001900,3480000,1428800,6810800,2209900,1872665,22724486,,21527600,8911900,1674700,2051200,,55211600,2103400,26345520,26310350,15171400,7334800,10862189,893500,1100200,13549800,2320200,11324400,7025800,5488000,7211800,1922700,14941700,65023000,,2927300,702800,1872900,1595900,11761100,,,,8751900,3078800,3854300,1163000,6059922,1595800,4349100,9145400,2263600,6217200,5161149,9418800,59647600,23530900,,6275900,147200,4619700,4076300
2020-05-29,46037100,4398800,7312900,14716600,599800,89472093,26793400,20328121,85059733,9376500,8451100,4569828,12938580,18732800,2221400,,880,11480900,5938800,,,11909500,34740154,,70111200,32092300,136927000,12878700,2757800,40459300,4193600,9367800,1537336,1956570,5442300,3041100,13040700,4341200,125473100,14478000,3322200,15762400,1792100,2668327,34285746,,20364800,11014100,5284100,9640900,,39201000,2284000,71014572,59365350,19824600,11863719,22733638,5396500,1123200,16747800,3734400,16614100,11363100,10920800,14846000,3089000,40906600,128832600,,2911900,1806100,3621000,4285700,19773900,,,,10091300,6981800,8177400,1454200,5178800,1306800,4913600,14852100,2806500,10895300,7490960,14358500,77935400,92646300,,15771200,167400,8774100,3086400
2020-06-01,20353500,1885700,2144400,22400900,601900,22409423,21935100,8020727,73584335,2189200,9572900,5403281,7400780,9743200,1469500,,1750,9572200,2641500,,,6993400,18060729,,48776100,3614200,15282000,6535800,4023400,13419000,6691300,6356000,1632327,4740054,3778400,1427600,7647400,4740600,36657400,6508400,1347200,8513400,1851800,1710732,13722665,,12029000,19425900,1669500,6838700,,30339500,945800,49754257,43143430,17785600,10410179,14846415,1067700,1438200,8753800,3852300,13038900,4379100,6620100,5714100,2508000,16933500,86579500,,3458900,748700,2949300,1548200,7676700,,,,9671900,2881300,3583000,989700,3945810,1033100,3574500,8185900,1820700,5619100,5520129,8645500,22432200,27152300,,7042400,119800,5511600,2041700
2020-06-02,25136500,2144000,1413900,32197400,777400,41175943,15530800,7689671,57911810,3923400,6291100,5719889,10279210,19973600,3302300,,5470,8891100,4702400,,,6223600,19190334,,121275200,2493700,20425000,6836600,1867200,13190200,14489400,12346200,2655343,3475725,4807600,1624800,4937100,2910400,40344200,4834800,1722400,7569300,3714800,2967483,23776082,,24491800,29310700,2745600,4693800,,31610000,1288000,45963469,63591770,19748000,6376590,12267712,2566200,787500,18500000,3839900,10633400,3704000,9278300,5244900,2814700,16405100,77235100,,3885500,856500,3842500,1272300,7314000,,,,9648600,4823500,5559700,1362600,2900854,1333800,5997100,7941800,2124700,6583700,5788487,12800100,42301100,25602700,,8843100,165000,3305300,7143200
2020-06-03,29634100,2286300,1390400,45702400,818500,53116255,29289600,10448592,92530636,6585900,17484600,6206459,13179190,35992000,3625500,,3560,14307700,9508100,,,10047000,28052376,,107672200,6200100,17476000,8719900,1910800,15168400,18519400,20088800,2721817,11465476,5877900,4905100,4078800,3373900,39312300,7939600,2096400,9662200,5421900,4043955,53722765,,31532700,33327900,3956200,4601100,,81444800,4879600,61639979,64590020,51676500,9331849,15287684,1107400,1248100,19531500,5085000,19367500,7422800,10997400,5992200,4095000,18771700,86219700,,4547200,1550500,6110700,1816300,7733800,,,,13755700,3792400,6117400,1400800,4071408,1812800,10470100,9393100,3385000,8044300,6840265,7737600,46396000,31584300,,9420100,354200,4565800,7764900
2020-06-04,20052200,2215400,1966000,27366900,342600,39286241,23709800,9967738,70904185,3929700,15969600,5668044,11939330,16854800,2661100,,2980,8007700,4866700,,,9034800,20238327,,48704000,2473400,9671000,4935500,1304500,12000700,8425100,8454200,1317228,5516390,6856000,1601800,2748800,1539100,23545000,20990000,2489300,7016700,2439500,3239915,19707541,,16110500,23581300,3314200,3006500,,84735900,2384900,54899570,48770260,24682100,8870069,10362987,981800,907300,12725900,4732100,11739000,3961100,5547000,11086100,3425800,24417700,107401400,,3617300,946300,4313300,1698000,12066700,,,,10288600,5298100,3867600,1035400,2258586,1571300,5137200,11885700,2260800,6516200,6470458,4257600,25715700,37638600,,5631400,428000,5777800,3240000
2020-06-05,50272000,4523300,4823900,32274700,636000,46971649,35294100,11014388,88795971,5085400,9781000,5607779,15475370,27721200,3482000,,7200,11681200,3368100,,,15307700,31576554,,63184500,6281600,11046000,5730300,1654900,18744400,10927400,10183900,2386435,8485609,8424000,2012800,4873300,2506800,24346100,9006400,1946900,8988800,2940500,2819867,21279391,,22749100,22855100,2784700,4394600,,45089500,3234500,61220878,71132050,22089900,12600169,15419528,631500,1250000,19266500,6535000,16235200,6530500,7916800,11240800,2292300,26623200,114137700,,5786600,953300,5371100,1687700,17885300,,,,11374500,4107500,5187400,1654600,4253634,3034600,10673400,12945600,2739500,12748300,8355278,6571400,26911600,39799100,,9850600,178400,6007800,7610600
2020-06-08,47591500,2106200,2719400,58040600,602000,29955331,22097000,8143663,70020280,3497100,6121700,3800156,12583470,24401600,3348400,,2140,8791600,3175600,,,6913200,21952156,,50299800,4993500,10871000,5529900,1557200,31058700,9138000,8842300,998214,6568364,4870100,1774100,4340700,2746200,36773700,8267600,1420200,6901300,2315500,2095573,22008302,,18041400,31767600,1616400,2484900,,53440100,2555300,36046863,34939630,21540400,6407720,12717763,1199500,1466500,20546600,5014000,6650000,3953200,11263800,7818700,2095800,19812000,82444400,,4535000,999600,4235000,903100,10825100,,,,7950600,3343800,4196600,1473800,3907574,1500600,7686800,11073000,3270800,7377100,6860815,6631000,29666500,27456500,,12543200,204400,5132700,5710200
2020-06-09,23819600,2014400,1385900,68100600,257200,33779435,28509800,7452511,62607457,4301700,12982300,3284226,14753040,16740400,3384000,,3840,10106900,2704500,,,7879600,17873377,,52366300,5214400,12751000,4341400,1700800,19061800,12465300,6492100,1192715,4725171,7012300,1512500,4828500,2580200,30768900,4597600,1067000,5583800,8908000,2321769,24172604,,16196400,35120200,1772100,2816000,,92602500,1850900,40989241,56801800,23524600,8211389,9213225,717100,1026800,11402200,3661700,12231700,4811800,8234900,6789800,1805000,18562600,96488300,,3904800,681400,3123200,1169200,6176900,,,,5170800,4232800,5131900,1252100,5101360,1694700,3113100,9178700,3567900,7599600,5750694,5967000,18887500,19860000,,8670800,160600,4152600,3331500
2020-06-10,26816400,3535100,1186800,54508100,339000,38377540,26985800,10015654,74329574,5770600,8068700,4200612,16071080,21276800,2203100,,1970,8361600,3714500,,,16407500,19325109,,47055800,2981700,11341000,3793800,1646500,13303200,9758000,7554900,1352373,4671931,4256500,2000900,4072300,2847300,31359700,6060400,1281600,10256500,2669600,1991542,24572277,,19747400,30672300,2143200,2748000,,64398100,1831100,51124327,54169280,22067800,8717719,9279208,776600,852000,19720500,5527900,11072300,4483300,14757100,7792300,1577800,26428300,102551100,,5079700,646800,2959700,2112200,11158800,,,,7164100,4021600,3096200,1739300,5699342,1837500,6730600,7838400,2920600,10382700,5813348,6859700,25957700,24321300,,7622600,179800,4832700,3122400
