,n_posicoes
2023-03-20,52
2023-03-27,63
2023-04-03,68
2023-04-10,68
2023-04-17,68
2023-04-24,68
2023-05-02,67
2023-05-08,67
2023-05-15,72
2023-05-22,70
2023-05-29,70
2023-06-05,70
2023-06-12,70
2023-06-19,70
2023-06-26,70
2023-07-03,70
2023-07-10,70
2023-07-17,70
2023-07-24,70
2023-07-31,70
2023-08-07,71
2023-08-14,68
2023-08-21,67
2023-08-28,67
2023-09-04,67
2023-09-11,67
2023-09-18,67
2023-09-25,67
2023-10-02,67
2023-10-09,67
2023-10-16,67
2023-10-23,67
2023-10-30,65
2023-11-06,66
2023-11-13,66
2023-11-20,69
2023-11-27,69
2023-12-04,69
2023-12-11,69
2023-12-18,69
2023-12-26,69
2024-01-02,69
2024-01-08,69
2024-01-15,69
2024-01-22,69
2024-01-29,69
2024-02-05,69
2024-02-14,70
2024-02-19,70
2024-02-26,69
2024-03-04,70
2024-03-11,70
2024-03-18,71
2024-03-25,70
