,n_posicoes
2023-03-20,28
2023-03-27,33
2023-04-03,41
2023-04-10,40
2023-04-17,38
2023-04-24,42
2023-05-02,38
2023-05-08,34
2023-05-15,41
2023-05-22,46
2023-05-29,40
2023-06-05,41
2023-06-12,36
2023-06-19,48
2023-06-26,46
2023-07-03,42
2023-07-10,33
2023-07-17,53
2023-07-24,36
2023-07-31,40
2023-08-07,55
2023-08-14,42
2023-08-21,35
2023-08-28,44
2023-09-04,39
2023-09-11,38
2023-09-18,37
2023-09-25,39
2023-10-02,41
2023-10-09,34
2023-10-16,32
2023-10-23,36
2023-10-30,38
2023-11-06,38
2023-11-13,45
2023-11-20,39
2023-11-27,46
2023-12-04,42
2023-12-11,41
2023-12-18,45
2023-12-26,43
2024-01-02,50
2024-01-08,49
2024-01-15,46
2024-01-22,48
2024-01-29,41
2024-02-05,49
2024-02-14,40
2024-02-19,45
2024-02-26,43
2024-03-04,41
2024-03-11,45
2024-03-18,33
2024-03-25,35
