,n_posicoes
2023-03-20,34
2023-03-27,36
2023-04-03,27
2023-04-10,37
2023-04-17,37
2023-04-24,39
2023-05-02,32
2023-05-08,36
2023-05-15,36
2023-05-22,40
2023-05-29,40
2023-06-05,30
2023-06-12,42
2023-06-19,30
2023-06-26,44
2023-07-03,30
2023-07-10,33
2023-07-17,47
2023-07-24,43
2023-07-31,26
2023-08-07,39
2023-08-14,41
2023-08-21,38
2023-08-28,36
2023-09-04,41
2023-09-11,46
2023-09-18,36
2023-09-25,34
2023-10-02,41
2023-10-09,46
2023-10-16,44
2023-10-23,33
2023-10-30,39
2023-11-06,44
2023-11-13,36
2023-11-20,37
2023-11-27,44
2023-12-04,44
2023-12-11,37
2023-12-18,37
2023-12-26,37
2024-01-02,35
2024-01-08,44
2024-01-15,35
2024-01-22,44
2024-01-29,51
2024-02-05,44
2024-02-14,39
2024-02-19,36
2024-02-26,36
2024-03-04,43
2024-03-11,44
2024-03-18,39
2024-03-25,44
