,n_posicoes
2023-03-20,43
2023-03-27,51
2023-04-03,55
2023-04-10,55
2023-04-17,55
2023-04-24,55
2023-05-02,51
2023-05-08,51
2023-05-15,55
2023-05-22,52
2023-05-29,52
2023-06-05,50
2023-06-12,50
2023-06-19,49
2023-06-26,49
2023-07-03,51
2023-07-10,51
2023-07-17,50
2023-07-24,50
2023-07-31,48
2023-08-07,51
2023-08-14,55
2023-08-21,56
2023-08-28,56
2023-09-04,56
2023-09-11,56
2023-09-18,56
2023-09-25,56
2023-10-02,56
2023-10-09,57
2023-10-16,57
2023-10-23,57
2023-10-30,55
2023-11-06,55
2023-11-13,58
2023-11-20,57
2023-11-27,57
2023-12-04,56
2023-12-11,55
2023-12-18,54
2023-12-26,54
2024-01-02,57
2024-01-08,57
2024-01-15,57
2024-01-22,57
2024-01-29,57
2024-02-05,56
2024-02-14,57
2024-02-19,57
2024-02-26,57
2024-03-04,58
2024-03-11,58
2024-03-18,55
2024-03-25,56
