,n_posicoes
2023-03-20,25
2023-03-27,33
2023-04-03,33
2023-04-10,36
2023-04-17,37
2023-04-24,37
2023-05-02,35
2023-05-08,35
2023-05-15,39
2023-05-22,35
2023-05-29,35
2023-06-05,34
2023-06-12,34
2023-06-19,34
2023-06-26,34
2023-07-03,34
2023-07-10,34
2023-07-17,33
2023-07-24,32
2023-07-31,30
2023-08-07,28
2023-08-14,31
2023-08-21,31
2023-08-28,30
2023-09-04,33
2023-09-11,34
2023-09-18,31
2023-09-25,33
2023-10-02,31
2023-10-09,34
2023-10-16,30
2023-10-23,36
2023-10-30,33
2023-11-06,34
2023-11-13,39
2023-11-20,36
2023-11-27,36
2023-12-04,36
2023-12-11,36
2023-12-18,33
2023-12-26,34
2024-01-02,37
2024-01-08,37
2024-01-15,36
2024-01-22,37
2024-01-29,34
2024-02-05,36
2024-02-14,35
2024-02-19,35
2024-02-26,34
2024-03-04,35
2024-03-11,36
2024-03-18,33
2024-03-25,33
