,n_posicoes
2023-03-20,24
2023-03-27,27
2023-04-03,29
2023-04-10,29
2023-04-17,29
2023-04-24,29
2023-05-02,26
2023-05-08,26
2023-05-15,31
2023-05-22,32
2023-05-29,32
2023-06-05,32
2023-06-12,32
2023-06-19,32
2023-06-26,32
2023-07-03,32
2023-07-10,32
2023-07-17,32
2023-07-24,32
2023-07-31,33
2023-08-07,31
2023-08-14,30
2023-08-21,28
2023-08-28,28
2023-09-04,28
2023-09-11,28
2023-09-18,28
2023-09-25,28
2023-10-02,28
2023-10-09,28
2023-10-16,28
2023-10-23,28
2023-10-30,27
2023-11-06,29
2023-11-13,36
2023-11-20,40
2023-11-27,40
2023-12-04,40
2023-12-11,40
2023-12-18,40
2023-12-26,40
2024-01-02,40
2024-01-08,40
2024-01-15,40
2024-01-22,40
2024-01-29,40
2024-02-05,40
2024-02-14,40
2024-02-19,40
2024-02-26,42
2024-03-04,42
2024-03-11,41
2024-03-18,40
2024-03-25,40
