,n_posicoes
2023-03-20,19
2023-03-27,18
2023-04-03,17
2023-04-10,22
2023-04-17,15
2023-04-24,21
2023-05-02,19
2023-05-08,22
2023-05-15,14
2023-05-22,21
2023-05-29,18
2023-06-05,20
2023-06-12,24
2023-06-19,17
2023-06-26,17
2023-07-03,21
2023-07-10,24
2023-07-17,24
2023-07-24,22
2023-07-31,23
2023-08-07,23
2023-08-14,17
2023-08-21,18
2023-08-28,16
2023-09-04,21
2023-09-11,17
2023-09-18,23
2023-09-25,22
2023-10-02,17
2023-10-09,15
2023-10-16,18
2023-10-23,16
2023-10-30,20
2023-11-06,20
2023-11-13,20
2023-11-20,31
2023-11-27,21
2023-12-04,26
2023-12-11,24
2023-12-18,23
2023-12-26,28
2024-01-02,25
2024-01-08,29
2024-01-15,33
2024-01-22,23
2024-01-29,28
2024-02-05,26
2024-02-14,21
2024-02-19,26
2024-02-26,27
2024-03-04,26
2024-03-11,28
2024-03-18,28
2024-03-25,26
