,n_posicoes
2023-03-20,24
2023-03-27,27
2023-04-03,29
2023-04-10,29
2023-04-17,29
2023-04-24,29
2023-05-02,25
2023-05-08,25
2023-05-15,29
2023-05-22,30
2023-05-29,30
2023-06-05,30
2023-06-12,30
2023-06-19,30
2023-06-26,30
2023-07-03,30
2023-07-10,30
2023-07-17,30
2023-07-24,30
2023-07-31,31
2023-08-07,27
2023-08-14,26
2023-08-21,26
2023-08-28,26
2023-09-04,26
2023-09-11,26
2023-09-18,26
2023-09-25,26
2023-10-02,26
2023-10-09,26
2023-10-16,26
2023-10-23,26
2023-10-30,26
2023-11-06,28
2023-11-13,33
2023-11-20,36
2023-11-27,36
2023-12-04,36
2023-12-11,36
2023-12-18,36
2023-12-26,36
2024-01-02,36
2024-01-08,36
2024-01-15,36
2024-01-22,36
2024-01-29,36
2024-02-05,36
2024-02-14,36
2024-02-19,36
2024-02-26,38
2024-03-04,38
2024-03-11,38
2024-03-18,39
2024-03-25,39
