,n_posicoes
2023-03-20,12
2023-03-27,12
2023-04-03,19
2023-04-10,14
2023-04-17,14
2023-04-24,15
2023-05-02,13
2023-05-08,12
2023-05-15,12
2023-05-22,12
2023-05-29,12
2023-06-05,10
2023-06-12,15
2023-06-19,14
2023-06-26,12
2023-07-03,11
2023-07-10,13
2023-07-17,13
2023-07-24,13
2023-07-31,16
2023-08-07,12
2023-08-14,13
2023-08-21,16
2023-08-28,11
2023-09-04,13
2023-09-11,14
2023-09-18,15
2023-09-25,12
2023-10-02,15
2023-10-09,16
2023-10-16,13
2023-10-23,13
2023-10-30,14
2023-11-06,15
2023-11-13,16
2023-11-20,17
2023-11-27,18
2023-12-04,17
2023-12-11,16
2023-12-18,16
2023-12-26,21
2024-01-02,22
2024-01-08,17
2024-01-15,16
2024-01-22,18
2024-01-29,18
2024-02-05,19
2024-02-14,19
2024-02-19,20
2024-02-26,21
2024-03-04,18
2024-03-11,18
2024-03-18,18
2024-03-25,20
