,n_posicoes
2023-03-20,51
2023-03-27,60
2023-04-03,66
2023-04-10,66
2023-04-17,66
2023-04-24,66
2023-05-02,72
2023-05-08,72
2023-05-15,77
2023-05-22,77
2023-05-29,77
2023-06-05,77
2023-06-12,77
2023-06-19,77
2023-06-26,77
2023-07-03,77
2023-07-10,77
2023-07-17,77
2023-07-24,77
2023-07-31,77
2023-08-07,77
2023-08-14,76
2023-08-21,75
2023-08-28,75
2023-09-04,75
2023-09-11,75
2023-09-18,75
2023-09-25,75
2023-10-02,75
2023-10-09,75
2023-10-16,75
2023-10-23,75
2023-10-30,75
2023-11-06,75
2023-11-13,80
2023-11-20,82
2023-11-27,82
2023-12-04,82
2023-12-11,82
2023-12-18,82
2023-12-26,82
2024-01-02,82
2024-01-08,82
2024-01-15,82
2024-01-22,82
2024-01-29,82
2024-02-05,82
2024-02-14,83
2024-02-19,83
2024-02-26,82
2024-03-04,83
2024-03-11,84
2024-03-18,85
2024-03-25,84
