,n_posicoes
2023-03-20,28
2023-03-27,40
2023-04-03,43
2023-04-10,41
2023-04-17,32
2023-04-24,39
2023-05-02,45
2023-05-08,39
2023-05-15,46
2023-05-22,52
2023-05-29,42
2023-06-05,48
2023-06-12,53
2023-06-19,43
2023-06-26,40
2023-07-03,51
2023-07-10,52
2023-07-17,46
2023-07-24,44
2023-07-31,44
2023-08-07,38
2023-08-14,36
2023-08-21,41
2023-08-28,58
2023-09-04,50
2023-09-11,45
2023-09-18,51
2023-09-25,49
2023-10-02,36
2023-10-09,45
2023-10-16,46
2023-10-23,55
2023-10-30,38
2023-11-06,37
2023-11-13,41
2023-11-20,57
2023-11-27,41
2023-12-04,51
2023-12-11,55
2023-12-18,53
2023-12-26,49
2024-01-02,47
2024-01-08,47
2024-01-15,47
2024-01-22,47
2024-01-29,43
2024-02-05,41
2024-02-14,44
2024-02-19,52
2024-02-26,51
2024-03-04,53
2024-03-11,42
2024-03-18,49
2024-03-25,50
