,n_posicoes
2023-03-20,48
2023-03-27,56
2023-04-03,61
2023-04-10,61
2023-04-17,61
2023-04-24,61
2023-05-02,65
2023-05-08,65
2023-05-15,70
2023-05-22,71
2023-05-29,71
2023-06-05,71
2023-06-12,71
2023-06-19,71
2023-06-26,71
2023-07-03,71
2023-07-10,71
2023-07-17,71
2023-07-24,71
2023-07-31,71
2023-08-07,71
2023-08-14,72
2023-08-21,70
2023-08-28,70
2023-09-04,70
2023-09-11,70
2023-09-18,70
2023-09-25,70
2023-10-02,70
2023-10-09,70
2023-10-16,70
2023-10-23,70
2023-10-30,69
2023-11-06,69
2023-11-13,74
2023-11-20,74
2023-11-27,74
2023-12-04,74
2023-12-11,74
2023-12-18,74
2023-12-26,74
2024-01-02,74
2024-01-08,74
2024-01-15,74
2024-01-22,74
2024-01-29,74
2024-02-05,74
2024-02-14,78
2024-02-19,78
2024-02-26,77
2024-03-04,76
2024-03-11,76
2024-03-18,75
2024-03-25,74
