,n_posicoes
2023-03-20,24
2023-03-27,31
2023-04-03,39
2023-04-10,40
2023-04-17,32
2023-04-24,41
2023-05-02,34
2023-05-08,33
2023-05-15,48
2023-05-22,41
2023-05-29,38
2023-06-05,39
2023-06-12,30
2023-06-19,35
2023-06-26,36
2023-07-03,36
2023-07-10,35
2023-07-17,31
2023-07-24,35
2023-07-31,39
2023-08-07,28
2023-08-14,39
2023-08-21,29
2023-08-28,31
2023-09-04,41
2023-09-11,43
2023-09-18,39
2023-09-25,45
2023-10-02,28
2023-10-09,40
2023-10-16,30
2023-10-23,41
2023-10-30,42
2023-11-06,39
2023-11-13,40
2023-11-20,32
2023-11-27,52
2023-12-04,37
2023-12-11,45
2023-12-18,37
2023-12-26,43
2024-01-02,35
2024-01-08,49
2024-01-15,35
2024-01-22,40
2024-01-29,41
2024-02-05,39
2024-02-14,37
2024-02-19,45
2024-02-26,43
2024-03-04,39
2024-03-11,36
2024-03-18,38
2024-03-25,44
