,n_posicoes
2023-03-20,32
2023-03-27,37
2023-04-03,41
2023-04-10,41
2023-04-17,41
2023-04-24,41
2023-05-02,44
2023-05-08,44
2023-05-15,50
2023-05-22,50
2023-05-29,50
2023-06-05,50
2023-06-12,50
2023-06-19,50
2023-06-26,50
2023-07-03,50
2023-07-10,50
2023-07-17,50
2023-07-24,50
2023-07-31,51
2023-08-07,51
2023-08-14,54
2023-08-21,51
2023-08-28,51
2023-09-04,51
2023-09-11,51
2023-09-18,51
2023-09-25,51
2023-10-02,51
2023-10-09,51
2023-10-16,51
2023-10-23,51
2023-10-30,51
2023-11-06,52
2023-11-13,56
2023-11-20,55
2023-11-27,55
2023-12-04,55
2023-12-11,55
2023-12-18,55
2023-12-26,55
2024-01-02,55
2024-01-08,55
2024-01-15,55
2024-01-22,55
2024-01-29,55
2024-02-05,55
2024-02-14,56
2024-02-19,56
2024-02-26,55
2024-03-04,56
2024-03-11,54
2024-03-18,53
2024-03-25,54
