Limiar,Filtro,Estratégia,Sharpe,Beta,Volatilidade,Retorno Anual,Retorno Acumulado
0.0%,Lucro Líquido Positivo,equal_weight,1.0234,0.9724,0.1522,0.3020,0.3153
0.0%,Naive,equal_weight,0.8875,0.8366,0.1359,0.2602,0.2714
0.0%,Projetado,equal_weight,0.7640,1.0575,0.1688,0.2646,0.2761
0.5%,Lucro Líquido Positivo,equal_weight,1.1127,0.9395,0.1475,0.3138,0.3277
0.5%,Naive,equal_weight,0.7001,0.8562,0.1396,0.2312,0.2411
0.5%,Projetado,equal_weight,0.7059,1.0267,0.1636,0.2488,0.2595
1.0%,Lucro Líquido Positivo,equal_weight,1.1010,0.9529,0.1482,0.3124,0.3262
1.0%,Naive,equal_weight,0.8089,0.8589,0.1403,0.2505,0.2613
1.0%,Projetado,equal_weight,0.6717,1.0383,0.1657,0.2432,0.2536
1.5%,Lucro Líquido Positivo,equal_weight,1.1996,0.9313,0.1456,0.3280,0.3425
1.5%,Naive,equal_weight,0.7125,0.8727,0.1425,0.2353,0.2454
1.5%,Projetado,equal_weight,0.4308,1.0662,0.1706,0.1964,0.2047
2.0%,Lucro Líquido Positivo,equal_weight,1.2810,0.9196,0.1435,0.3405,0.3557
2.0%,Naive,equal_weight,0.4880,0.8803,0.1454,0.1978,0.2062
2.0%,Projetado,equal_weight,0.2098,1.0798,0.1716,0.1523,0.1586
,Benchmark,SELIC,0.0000,0.0000,0.0012,0.1276,0.1329
,Benchmark,BOVA11,0.7846,0.9989,0.1463,0.2511,0.2619
,Benchmark,BRAX11,0.7442,0.9520,0.1409,0.2398,0.2501
