,ABEV3.SA,ALPA4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,CCRO3.SA,CMIN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,ENGI11.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,HYPE3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MDIA3.SA,MRFG3.SA,MULT3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RENT3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VIVT3.SA,WEGE3.SA,ALOS3.SA,CMIG4.SA,CPLE6.SA,ENEV3.SA,ITSA4.SA,JBSS3.SA,LWSA3.SA,RECV3.SA,SIMH3.SA,STBP3.SA,VBBR3.SA,BRAP4.SA,CPFE3.SA,EQTL3.SA,EZTC3.SA,RDOR3.SA,GOLL4.SA,SANB11.SA,BPAC11.SA,BRKM5.SA,COGN3.SA,DIRR3.SA,YDUQ3.SA,MRVE3.SA,IGTI11.SA,EMBR3.SA,SBSP3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2397,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0429,0.0000,0.0000,0.0406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0807,0.0000,0.1508,0.0410,0.0000,0.0000,0.0000,0.0013,0.0000,0.0094,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.2501,0.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0099,0.0000,0.0000,0.0407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0735,0.0000,0.1459,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0094,0.0000,0.0000,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,
2023-04-03,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.2364,0.0599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,0.0000,0.0000,0.0398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0704,0.0000,0.1392,0.0450,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0803,0.0259,0.0000,0.0000,,,,,,,,,,,,
2023-04-10,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.2446,0.0537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,0.0000,0.0000,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,0.0000,0.1404,0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0862,0.0341,0.0000,0.0000,,,,,,,,,,,,
2023-04-17,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.2185,0.0527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,0.0000,0.0000,0.0379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0717,0.0000,0.1487,0.0436,0.0000,0.0000,0.0000,0.0032,0.0000,0.0027,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0722,0.0340,0.0000,0.0000,,,,,,,,,,,,
2023-04-24,0.0183,0.0000,0.0000,0.0000,0.0000,0.0000,0.2158,0.0510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0695,0.0000,0.1440,0.0466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0757,0.0198,0.0000,0.0000,,,,,,,,,,,,
2023-05-02,0.0000,,0.0000,0.0000,0.0000,0.0000,0.2046,0.0449,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,0.2850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0.0206,0.0000,0.0000,0.0317,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0715,0.0000,0.1423,0.0591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0990,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-05-08,0.0016,,0.0000,0.0000,0.0000,0.0000,0.1949,0.0433,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,0.3031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.0000,0.0240,0.0000,0.0000,0.0283,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0739,0.0000,0.1411,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0136,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0863,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-05-15,0.0168,,0.0000,0.0000,0.0000,0.0000,0.1791,0.0409,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,0.3035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.0000,0.0231,0.0000,0.0000,0.0142,0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0766,0.0000,0.1474,0.0249,0.0000,0.0000,0.0000,0.0046,0.0000,0.0318,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,,,,,
2023-05-22,0.0083,,0.0000,0.0000,0.0000,0.0000,0.1627,0.0419,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.2812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0387,0.0000,0.0365,,0.0000,0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0796,0.0000,0.1332,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,0.0000,0.0000,,,,
