,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,WEGE3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,MDIA3.SA,UGPA3.SA,EGIE3.SA,TOTS3.SA,ENGI11.SA,SMTO3.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,ELET3.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,RADL3.SA,TIMS3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,ALPA4.SA,SIMH3.SA,ITSA4.SA,ALOS3.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,RDOR3.SA,EQTL3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,BRKM5.SA,RAIZ4.SA,COGN3.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,ENEV3.SA,MRVE3.SA,IGTI11.SA,PETZ3.SA,SBSP3.SA,RAIL3.SA,EMBR3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0305,0.0000,0.2524,0.0000,0.0000,0.0000,0.0587,0.0000,0.0699,0.1429,0.0000,0.0000,0.0000,0.0000,0.0483,0.0000,0.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.1089,0.0000,0.0000,0.0530,0.0314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,0.0000,0.0498,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2785,0.0000,0.0000,0.0000,0.0645,0.0000,0.0000,0.1202,0.0000,0.0000,0.0000,0.0000,0.0223,0.0000,0.2223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0424,0.0000,0.0000,0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0824,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2645,0.0000,0.0000,0.0000,0.0700,0.0000,0.0000,0.1239,0.0000,0.0000,0.0000,0.0000,0.0244,0.0000,0.1772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0435,0.0000,0.0000,0.0741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0210,0.0000,0.0468,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0684,0.0000,0.0000,0.0439,0.0000,0.0423,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2668,0.0000,0.0000,0.0000,0.0532,0.0000,0.0000,0.1266,0.0017,0.0000,0.0000,0.0000,0.0262,0.0000,0.1586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0390,0.0000,0.0000,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0371,0.0000,0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0777,0.0000,0.0000,0.0531,0.0000,0.0450,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.2381,0.0000,0.0000,0.0000,0.0504,0.0000,0.0000,0.1088,0.0000,0.0000,0.0000,0.0000,0.0304,0.0000,0.1977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0470,0.0000,0.0000,0.0932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0654,0.0000,0.0000,0.0545,0.0000,0.0358,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0000,0.2295,0.0000,0.0000,0.0000,0.0666,0.0000,0.0000,0.1157,0.0017,0.0000,0.0000,0.0000,0.0239,0.0000,0.2252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0430,0.0000,0.0000,0.0846,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0255,0.0000,0.0336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0630,0.0000,0.0000,0.0356,0.0000,0.0381,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.2156,0.0000,0.0000,0.0000,0.0679,0.0000,0.0000,0.1084,0.0443,0.0000,0.0000,,0.0358,0.0000,0.1985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0438,0.0000,0.0000,0.0590,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0398,0.0000,0.0243,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0653,0.0000,0.0000,0.0144,0.0000,0.0660,0.0000,0.0000,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,0.0000,0.2000,0.0000,0.0000,0.0000,0.0554,0.0000,0.0000,0.1117,0.0642,0.0000,0.0000,,0.0432,0.0000,0.2431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0483,0.0000,0.0000,0.0438,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0215,0.0000,0.0235,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0744,0.0000,0.0000,0.0047,0.0000,0.0400,0.0000,0.0000,,,,,,,,,,,,,,
2023-05-15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0318,0.0000,0.1792,0.0000,0.0000,0.0000,0.0199,0.0000,0.0000,0.0147,0.0099,0.0000,,,0.0231,0.0000,0.3039,0.0000,0.0000,0.0000,0.0150,0.0000,0.0768,0.0000,0.0000,0.1477,0.0046,0.0000,,0.0167,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0250,0.0000,0.0410,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,0.0000,0.0000,,,,,,,,
2023-05-22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0416,0.0000,0.1631,0.0000,0.0000,0.0000,0.0209,0.0000,0.0000,0.0339,0.0375,0.0000,0.0000,,0.0363,0.0000,0.2814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0795,0.0000,0.0000,0.1331,0.0000,0.0000,,0.0084,0.0000,0.0000,,,0.0000,0.0000,0.0000,,0.0242,0.0000,0.0426,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,0.0000,,,,,,
