,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,MDIA3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,SMTO3.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,ELET3.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,TIMS3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,BRKM5.SA,ALOS3.SA,RAIZ4.SA,COGN3.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,IGTI11.SA,ENEV3.SA,MRVE3.SA,SBSP3.SA,RAIL3.SA,TOTS3.SA,EMBR3.SA,RENT3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0376,0.0000,0.2663,0.0000,0.0000,0.0000,0.0905,0.1427,0.0000,0.0000,0.0000,0.0000,0.0518,0.0000,0.1337,0.0000,0.0000,0.0000,0.0000,0.1098,0.0000,0.0000,0.0644,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0173,0.0000,0.0551,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2963,0.0000,0.0000,0.0000,0.0000,0.1202,0.0000,0.0000,0.0000,0.0000,0.0247,0.0000,0.2197,0.0000,0.0000,0.0000,0.0000,0.0378,0.0000,0.0000,0.0930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0318,0.0000,0.0714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1051,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2887,0.0000,0.0000,0.0000,0.0000,0.1248,0.0131,0.0000,0.0000,0.0000,0.0255,0.0000,0.1616,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000,0.0745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0360,0.0000,0.0557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0954,0.0000,0.0658,0.0000,0.0218,,,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2824,0.0000,0.0000,0.0000,0.0000,0.1259,0.0214,0.0000,0.0000,0.0000,0.0273,0.0000,0.1470,0.0000,0.0000,0.0000,0.0000,0.0349,0.0000,0.0000,0.0710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0504,0.0000,0.0439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0969,0.0000,0.0676,0.0000,0.0312,,,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0241,0.0000,0.2501,0.0000,0.0000,0.0000,0.0000,0.1082,0.0150,0.0000,0.0000,0.0000,0.0315,0.0000,0.1908,0.0000,0.0000,0.0000,0.0000,0.0430,0.0000,0.0000,0.0913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0314,0.0000,0.0444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0809,0.0000,0.0660,0.0000,0.0233,,,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0251,0.0000,0.2479,0.0000,0.0000,0.0000,0.0000,0.1154,0.0238,0.0000,0.0000,0.0000,0.0249,0.0000,0.2137,0.0000,0.0000,0.0000,0.0000,0.0368,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0329,0.0000,0.0422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.0510,0.0000,0.0205,,,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0252,0.0000,0.2334,0.0000,0.0000,0.0000,0.0000,0.1083,0.0663,0.0000,,,0.0377,0.0000,0.1887,0.0000,,0.0000,0.0000,0.0391,0.0000,,0.0534,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0489,0.0000,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0879,0.0000,0.0276,0.0000,0.0516,0.0000,0.0000,,,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0348,0.0000,0.2144,0.0000,0.0000,0.0000,0.0000,0.1102,0.0782,0.0000,,,0.0440,0.0000,0.2359,0.0000,,0.0000,0.0000,0.0431,0.0000,,0.0433,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0293,0.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0908,0.0000,0.0172,0.0000,0.0285,0.0000,0.0000,,,,,,,,,,,,,,,,
2023-05-15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,0.0000,0.1827,0.0000,0.0000,0.0000,0.0000,0.0164,0.0184,0.0000,,,,0.0000,0.3047,0.0000,,0.0131,0.0000,0.0743,0.0000,,0.1508,0.0000,0.0000,,0.0400,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0303,0.0000,0.0477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0017,0.0806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0222,0.0000,0.0000,,,,,,,,,
2023-05-22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0000,0.1641,0.0000,0.0000,0.0000,0.0000,0.0365,0.0613,0.0000,,,,0.0000,0.2801,0.0000,0.0000,0.0000,0.0000,0.0716,0.0000,,0.1238,0.0000,0.0000,,0.0374,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0384,0.0000,0.0523,,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0000,0.0903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0289,0.0000,0.0000,,,,,,,,,
