,ABEV3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,CCRO3.SA,CMIN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,ENGI11.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,HYPE3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MDIA3.SA,MRFG3.SA,MULT3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,PSSA3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TIMS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VIVT3.SA,CMIG4.SA,CPLE6.SA,ITSA4.SA,JBSS3.SA,RECV3.SA,SIMH3.SA,STBP3.SA,VBBR3.SA,BRAP4.SA,CPFE3.SA,EQTL3.SA,EZTC3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,BPAC11.SA,BRKM5.SA,COGN3.SA,DIRR3.SA,RAIZ4.SA,YDUQ3.SA,IGTI11.SA,ENEV3.SA,MRVE3.SA,EMBR3.SA,RAIL3.SA,SBSP3.SA,TOTS3.SA,NTCO3.SA,RENT3.SA
2023-03-20,0.0911,0.0268,0.0409,0.0514,0.0524,0.0243,0.0033,0.0105,0.0087,0.0116,0.0116,0.0070,0.0022,0.0022,0.0015,0.0131,0.0319,0.0299,0.0077,0.0030,0.0164,0.0058,0.0044,0.0110,0.0806,0.0073,0.0067,0.0038,0.0024,0.0049,0.0965,0.0885,0.0118,0.0062,0.0037,0.0036,0.0236,0.0118,0.0063,0.0036,0.1381,0.0059,0.0258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0840,0.0237,0.0388,0.0477,0.0484,0.0231,0.0031,0.0100,0.0078,0.0102,0.0109,0.0063,0.0019,0.0019,0.0014,0.0122,0.0298,0.0282,0.0075,0.0029,0.0156,0.0053,0.0042,0.0100,0.0769,0.0067,0.0063,0.0034,0.0021,0.0047,0.0912,0.0836,0.0113,0.0058,0.0034,0.0031,0.0214,0.0111,0.0059,0.0032,0.1215,0.0055,0.0243,0.0084,0.0075,0.0303,0.0147,0.0021,0.0027,0.0023,0.0056,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0819,0.0226,0.0378,0.0455,0.0456,0.0215,0.0026,0.0100,0.0078,0.0104,0.0109,0.0065,0.0018,0.0019,0.0014,0.0115,0.0290,0.0275,0.0075,0.0027,0.0153,0.0050,0.0041,0.0088,0.0743,0.0065,0.0053,0.0033,0.0019,0.0045,0.0922,0.0838,0.0110,0.0052,0.0033,0.0035,0.0207,0.0102,0.0059,0.0033,0.1179,0.0052,0.0224,0.0086,0.0073,0.0293,0.0132,0.0019,0.0025,0.0024,0.0055,0.0032,0.0118,0.0130,0.0010,,,,,,,,,,,,,,,,,,
2023-04-10,0.0820,0.0231,0.0379,0.0456,0.0464,0.0229,0.0026,0.0101,0.0076,0.0095,0.0106,0.0064,0.0019,0.0018,0.0015,0.0115,0.0292,0.0280,0.0078,0.0026,0.0147,0.0048,0.0040,0.0088,0.0757,0.0064,0.0053,0.0034,0.0019,0.0047,0.0916,0.0832,0.0117,0.0054,0.0032,0.0036,0.0197,0.0109,0.0060,0.0033,0.1139,0.0050,0.0231,0.0087,0.0075,0.0293,0.0130,0.0020,0.0025,0.0023,0.0055,0.0031,0.0122,0.0134,0.0011,,,,,,,,,,,,,,,,,,
2023-04-17,0.0803,0.0245,0.0405,0.0463,0.0464,0.0220,0.0023,0.0099,0.0074,0.0090,0.0109,0.0060,0.0020,0.0019,0.0016,0.0114,0.0283,0.0275,0.0077,0.0027,0.0149,0.0047,0.0040,0.0087,0.0764,0.0063,0.0055,0.0035,0.0018,0.0046,0.0947,0.0870,0.0117,0.0053,0.0031,0.0034,0.0186,0.0110,0.0058,0.0033,0.1088,0.0054,0.0232,0.0088,0.0077,0.0297,0.0124,0.0019,0.0027,0.0023,0.0052,0.0030,0.0119,0.0131,0.0012,,,,,,,,,,,,,,,,,,
2023-04-24,0.0794,0.0244,0.0411,0.0461,0.0461,0.0224,0.0022,0.0100,0.0070,0.0088,0.0109,0.0059,0.0020,0.0018,0.0016,0.0116,0.0295,0.0288,0.0077,0.0027,0.0146,0.0046,0.0039,0.0086,0.0760,0.0064,0.0050,0.0034,0.0018,0.0045,0.0974,0.0902,0.0115,0.0055,0.0031,0.0035,0.0186,0.0112,0.0060,0.0032,0.1023,0.0052,0.0233,0.0090,0.0079,0.0300,0.0127,0.0018,0.0026,0.0022,0.0051,0.0028,0.0123,0.0130,0.0011,,,,,,,,,,,,,,,,,,
2023-05-02,0.0827,0.0246,0.0415,0.0483,0.0493,0.0232,0.0023,0.0111,0.0078,,0.0107,,0.0022,0.0019,0.0017,0.0121,,,0.0080,0.0028,0.0149,0.0048,0.0039,0.0091,0.0782,0.0069,,0.0039,0.0020,0.0048,0.0953,0.0887,0.0115,0.0058,0.0032,,0.0200,0.0121,0.0061,0.0035,0.1036,0.0048,0.0249,0.0094,0.0085,0.0308,0.0135,0.0018,0.0026,0.0024,0.0049,0.0029,0.0127,0.0133,0.0012,0.0086,0.0498,,,,,,,,,,,,,,,,
2023-05-08,0.0803,0.0257,0.0408,0.0500,0.0527,0.0216,0.0024,0.0106,0.0084,,0.0107,,0.0022,0.0021,0.0017,0.0127,,,0.0078,0.0029,0.0145,0.0049,0.0039,0.0088,0.0789,0.0072,,0.0040,0.0020,0.0048,0.0971,0.0912,0.0113,0.0053,0.0029,,0.0196,0.0115,0.0068,0.0036,0.0994,0.0045,0.0238,0.0086,0.0079,0.0308,0.0132,0.0018,0.0026,0.0023,0.0054,0.0028,0.0120,0.0131,0.0012,0.0088,0.0511,,,,,,,,,,,,,,,,
2023-05-15,0.0762,0.0253,0.0396,0.0485,0.0509,0.0196,0.0024,0.0099,0.0074,,0.0107,,0.0021,0.0022,0.0017,0.0121,,,0.0077,0.0029,0.0137,0.0053,0.0037,0.0084,0.0762,0.0071,,,0.0018,0.0045,0.0959,0.0899,0.0106,0.0048,0.0028,,0.0189,0.0107,0.0065,0.0034,0.0924,0.0043,0.0228,0.0084,0.0074,0.0297,0.0113,0.0015,0.0026,,0.0052,0.0025,0.0117,,0.0012,0.0091,0.0505,0.0034,0.0307,0.0068,0.0016,0.0009,0.0116,0.0011,,,,,,,,,
2023-05-22,0.0777,0.0266,0.0395,0.0500,0.0527,0.0192,0.0026,0.0102,0.0081,,,,0.0023,0.0025,0.0017,0.0120,,,0.0078,0.0030,0.0144,0.0056,0.0038,0.0089,0.0758,0.0076,,,,0.0046,0.0989,0.0916,0.0114,0.0049,0.0028,0.0042,0.0203,0.0111,0.0068,0.0036,0.0929,0.0049,0.0231,0.0084,0.0073,0.0299,,0.0016,0.0029,,,0.0026,0.0117,,0.0013,0.0097,0.0512,0.0037,0.0317,0.0071,0.0018,0.0010,0.0138,0.0013,,,,,,,,,
