,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,USIM5.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,RAIZ4.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,SMTO3.SA,EQTL3.SA,ENEV3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,MDIA3.SA,SBSP3.SA,TOTS3.SA,EMBR3.SA,FLRY3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0353,0.0000,0.2612,0.0000,0.0000,0.0000,0.1106,0.1487,0.0000,0.0000,0.0000,0.1587,0.0000,0.0000,0.0000,0.0973,0.0000,0.0672,0.0235,0.0000,0.0000,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0660,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0000,0.2946,0.0000,0.0000,0.0000,0.0072,0.1227,0.0000,0.0000,0.0000,0.2483,0.0000,0.0000,0.0000,0.0335,0.0000,0.0952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1096,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0287,0.0000,0.3051,0.0000,0.0000,0.0000,0.0000,0.1404,0.0000,0.0000,0.0000,0.2324,0.0000,0.0000,0.0000,0.0491,0.0000,0.0877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0568,0.0000,0.0000,0.0000,0.0000,0.0192,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0806,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0000,0.0000,0.0091,0.0408,0.0000,0.2976,0.0000,0.0000,0.0000,0.0006,0.1408,0.0000,0.0000,0.0000,0.2277,0.0000,0.0000,0.0000,0.0421,0.0000,0.0902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0000,0.0000,0.0000,0.0000,0.0206,0.0000,0.0000,,,0.0000,0.0000,0.0884,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0000,0.0000,0.0041,0.0521,0.0000,0.2715,0.0000,0.0000,0.0000,0.0046,0.1291,0.0000,0.0000,0.0000,0.2482,0.0000,0.0000,0.0000,0.0497,0.0000,0.1018,0.0000,,0.0000,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0410,0.0000,0.0000,0.0000,0.0000,0.0071,0.0000,0.0000,,,0.0000,0.0000,0.0809,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0589,0.0000,0.2689,0.0000,0.0000,0.0000,0.0000,0.1322,0.0000,0.0000,0.0000,0.2628,0.0000,0.0000,0.0000,0.0469,0.0000,0.0974,0.0000,,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0394,0.0000,0.0000,0.0000,0.0000,0.0226,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0700,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0000,0.0000,0.0022,0.0665,0.0000,0.2648,0.0000,0.0000,0.0000,,0.1340,0.0000,,0.0000,0.2414,0.0000,0.0000,0.0000,0.0443,0.0000,0.0966,0.0000,,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0328,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,,,0.0000,0.0000,0.1075,0.0000,0.0000,,,,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.0000,0.0000,0.0065,0.0570,0.0000,0.2461,0.0000,0.0000,0.0000,,0.1401,0.0000,,0.0000,0.3033,0.0000,0.0000,0.0000,0.0432,0.0000,0.0898,0.0000,,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0802,0.0000,0.0000,,,,,,,,,,,,,,,,,
2023-05-15,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1907,0.0000,0.0000,0.0000,,0.0113,0.0000,,,0.3241,0.0000,0.0162,0.0000,0.0746,0.0000,0.1683,0.0000,0.0000,,0.0463,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0025,0.0862,0.0000,0.0000,0.0000,0.0000,0.0285,0.0000,0.0000,,,,,,,,,,,,
2023-05-22,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1743,0.0000,0.0000,0.0000,,0.0372,0.0000,,,0.3113,0.0000,0.0000,0.0000,0.0713,0.0000,0.1742,0.0000,0.0000,,0.0344,0.0000,,,0.0000,0.0000,0.0000,0.0601,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0974,0.0000,0.0000,0.0000,0.0000,0.0397,0.0000,0.0000,0.0000,,,,,,,,,,,
