,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,PETR3.SA,USIM5.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,PETR4.SA,SLCE3.SA,BBDC4.SA,SUZB3.SA,VALE3.SA,GGBR4.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,LREN3.SA,VBBR3.SA,JBSS3.SA,CRFB3.SA,EZTC3.SA,BRAP4.SA,CPFE3.SA,BEEF3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,RAIZ4.SA,DIRR3.SA,ECOR3.SA,CPLE6.SA,YDUQ3.SA,BPAC11.SA,SMTO3.SA,MRVE3.SA,ELET6.SA,ELET3.SA,MULT3.SA,HYPE3.SA,EQTL3.SA,SBSP3.SA,MDIA3.SA,TOTS3.SA,STBP3.SA,EMBR3.SA,FLRY3.SA,NTCO3.SA,PSSA3.SA
2023-03-20,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,0.0303,,0.0303,0.0303,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,,0.0278,0.0278,0.0278,0.0278,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,,0.0256,0.0256,,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,,0.0256,0.0256,,,0.0256,0.0256,,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,,,,,,,,,,,,,,,
2023-05-22,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,,0.0286,0.0286,,,0.0286,0.0286,0.0286,,,,,,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,,,,,,,,,,,,,
2023-05-29,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,,0.0286,0.0286,,,0.0286,0.0286,0.0286,,,,,,0.0286,0.0286,,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,,,,,,,,,,,,,,
2023-06-05,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,
2023-06-12,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,
2023-06-19,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,
2023-06-26,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,
2023-07-03,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,
2023-07-10,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,
2023-07-17,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,0.0303,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,,0.0303,0.0303,,,0.0303,0.0303,0.0303,,,,,,0.0303,0.0303,,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,,,,,,,,,,,,,,
2023-07-24,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,,0.0312,0.0312,,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,,,0.0312,0.0312,,,0.0312,0.0312,0.0312,,,,,,0.0312,0.0312,,,0.0312,0.0312,0.0312,0.0312,,0.0312,0.0312,,0.0312,,,,,,,,,,,,,,
2023-07-31,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,,0.0333,0.0333,,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,,0.0333,,,0.0333,0.0333,,,0.0333,0.0333,0.0333,,,,,,0.0333,0.0333,,,,0.0333,0.0333,0.0333,,0.0333,0.0333,,0.0333,,,,,,,,,,,,,,
2023-08-07,0.0357,,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,,0.0357,0.0357,,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,,0.0357,,,,0.0357,,,0.0357,0.0357,0.0357,,,,,,0.0357,0.0357,,,,0.0357,0.0357,,0.0357,0.0357,0.0357,,0.0357,,,,,,,,,,,,,,
2023-08-14,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,,,0.0323,0.0323,,,0.0323,0.0323,0.0323,,,,,,0.0323,0.0323,,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,,0.0323,,,,,,,,,,,,,
2023-08-21,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,,,0.0323,0.0323,,,0.0323,0.0323,0.0323,,,,,,0.0323,0.0323,,,0.0323,,0.0323,0.0323,0.0323,,,0.0323,,0.0323,0.0323,0.0323,,,,,,,,,,,
2023-08-28,0.0333,,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,,0.0333,0.0333,,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,,0.0333,,,0.0333,0.0333,,,0.0333,0.0333,0.0333,,,,,,0.0333,0.0333,,0.0333,0.0333,,0.0333,0.0333,0.0333,,,0.0333,,0.0333,,,,,,,,,,,,,
2023-09-04,0.0303,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,0.0303,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,,,0.0303,0.0303,,,0.0303,0.0303,0.0303,,,,,,0.0303,0.0303,,0.0303,0.0303,,0.0303,0.0303,0.0303,,,0.0303,,0.0303,,0.0303,0.0303,0.0303,,,,,,,,,
2023-09-11,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,0.0294,,,0.0294,0.0294,,,0.0294,0.0294,0.0294,,,,,,0.0294,0.0294,,0.0294,0.0294,,0.0294,0.0294,0.0294,,,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,
2023-09-18,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,0.0323,,,0.0323,0.0323,,,0.0323,0.0323,0.0323,,,,,,0.0323,0.0323,,0.0323,0.0323,,0.0323,0.0323,0.0323,,,0.0323,,0.0323,,,,0.0323,,,,,,,,,
2023-09-25,,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,0.0303,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,0.0303,,,0.0303,0.0303,,,0.0303,0.0303,0.0303,,,,,,0.0303,0.0303,,0.0303,0.0303,,0.0303,0.0303,0.0303,,,0.0303,,0.0303,0.0303,0.0303,0.0303,0.0303,,,,,,,,,
