,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,PETR3.SA,USIM5.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,PETR4.SA,SLCE3.SA,BBDC4.SA,SUZB3.SA,VALE3.SA,GGBR4.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,LREN3.SA,VBBR3.SA,JBSS3.SA,CRFB3.SA,EZTC3.SA,BRAP4.SA,CPFE3.SA,BEEF3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,RAIZ4.SA,DIRR3.SA,ECOR3.SA,CPLE6.SA,YDUQ3.SA,BPAC11.SA,SMTO3.SA,MRVE3.SA,ELET6.SA,ELET3.SA,MULT3.SA,HYPE3.SA,EQTL3.SA,SBSP3.SA,MDIA3.SA,TOTS3.SA,STBP3.SA,EMBR3.SA,FLRY3.SA,NTCO3.SA,PSSA3.SA
2023-03-20,0.0000,0.0000,0.0240,0.0000,0.0000,0.3178,0.0000,0.0000,0.0000,0.1648,0.0000,0.0000,0.2842,0.0000,0.0000,0.1170,0.0000,0.0557,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.0000,0.0000,0.0109,0.3509,0.0000,0.0000,0.0000,0.1426,0.0000,0.0000,0.3118,0.0000,0.0000,0.0653,0.0000,0.1003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0000,0.0000,0.0119,0.3149,0.0000,0.0000,,0.1336,0.0000,0.0000,0.2644,0.0000,0.0000,0.0568,0.0000,0.0955,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0278,,0.0000,0.0000,,0.0000,0.0000,0.0866,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0000,0.0000,0.0113,0.3001,0.0000,0.0000,0.0000,0.1334,0.0000,0.0000,0.2551,0.0000,0.0000,0.0408,0.0000,0.0956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0231,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0935,0.0471,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0000,0.0000,0.0078,0.2758,0.0000,0.0000,0.0000,0.1191,0.0000,0.0000,0.2944,0.0000,0.0000,0.0462,0.0000,0.1090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0880,0.0484,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0000,0.0000,0.0000,0.2772,0.0000,0.0000,0.0000,0.1251,0.0000,0.0000,0.2966,0.0000,0.0000,0.0450,0.0000,0.1059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0761,0.0473,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0000,0.0000,0.0080,0.2716,0.0000,0.0000,0.0000,0.1234,0.0000,,0.2868,0.0000,0.0000,0.0391,0.0000,0.1043,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,,0.0000,0.0000,,0.0000,0.0000,0.1126,0.0401,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.0000,0.0000,0.0106,0.2528,0.0000,0.0000,0.0000,0.1302,0.0000,,0.3394,0.0000,0.0000,0.0400,0.0000,0.0973,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,,0.0000,0.0000,,0.0000,0.0000,0.0871,0.0400,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0000,0.0000,0.0000,0.0000,0.0000,0.2045,0.0000,0.0000,,0.0056,0.0000,,0.3598,0.0000,0.0230,0.0793,0.0000,0.1686,0.0136,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0185,,,0.0000,0.0938,,0.0000,0.0000,0.0000,0.0000,0.0334,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,
2023-05-22,0.0000,0.0000,0.0000,0.0000,0.0060,0.1797,0.0000,0.0000,,0.0350,0.0000,,0.3623,0.0000,0.0000,0.0788,0.0000,0.1830,0.0090,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.1041,,0.0000,0.0000,0.0000,0.0000,0.0422,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-05-29,0.0000,0.0000,0.0009,0.0000,0.0000,0.1839,0.0000,0.0000,,0.0353,0.0000,,0.3581,0.0000,0.0000,0.0812,0.0000,0.1862,0.0073,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.1019,,0.0000,0.0000,0.0000,0.0000,0.0452,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-05,0.0000,0.0000,0.0000,0.0000,0.0003,0.1799,0.0000,0.0000,,0.0420,0.0000,,0.3644,0.0000,0.0000,0.0830,0.0000,0.1879,0.0030,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0892,,,0.0000,0.0000,0.0000,0.0501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-12,0.0000,0.0000,0.0000,0.0000,0.0000,0.1686,0.0000,0.0000,,0.0332,0.0000,,0.3770,0.0000,0.0000,0.0825,0.0000,0.1878,0.0129,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0878,,,0.0000,0.0000,0.0000,0.0503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-19,0.0000,0.0000,0.0000,0.0000,0.0000,0.1604,0.0000,0.0000,,0.0131,0.0000,,0.3880,0.0000,0.0064,0.0820,0.0000,0.1891,0.0244,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0858,,,0.0000,0.0000,0.0000,0.0507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-26,0.0000,0.0000,0.0000,0.0000,0.0000,0.1565,0.0000,0.0000,,0.0136,0.0000,,0.3936,0.0000,0.0033,0.0850,0.0000,0.1877,0.0238,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0003,0.0872,,,0.0000,0.0000,0.0000,0.0490,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.1613,0.0000,0.0000,,0.0140,0.0000,,0.3830,0.0000,0.0060,0.0849,0.0000,0.1853,0.0196,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0932,,,0.0000,0.0000,0.0000,0.0528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-10,0.0000,0.0000,0.0016,0.0000,0.0000,0.1643,0.0000,0.0000,,0.0171,0.0000,,0.3732,0.0000,0.0000,0.0876,0.0000,0.1860,0.0203,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0981,,,0.0000,0.0000,0.0000,0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-17,0.0000,0.0000,0.0089,0.0000,0.0000,0.1593,0.0000,0.0000,,0.0114,0.0000,,0.3700,0.0000,0.0102,0.0860,0.0000,0.1811,0.0171,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.1030,,,0.0000,0.0000,0.0000,0.0533,0.0000,0.0000,0.0000,,0.0000,,,,,,,,,,,,,,
2023-07-24,0.0000,0.0000,0.0069,0.0000,0.0000,0.1595,0.0000,0.0000,,0.0072,0.0000,,0.3710,0.0000,0.0119,0.0876,0.0000,0.1820,0.0194,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.1004,,,0.0000,0.0000,0.0000,0.0541,,0.0000,0.0000,,0.0000,,,,,,,,,,,,,,
2023-07-31,0.0000,0.0000,0.0132,0.0000,0.0000,0.1513,0.0000,0.0000,,0.0070,0.0000,,0.3853,0.0000,0.0024,0.0875,0.0000,0.1901,,0.0000,,,0.0000,0.0000,,,0.0078,0.0000,0.0000,,,,,,0.0095,0.0944,,,,0.0000,0.0000,0.0514,,0.0000,0.0000,,0.0000,,,,,,,,,,,,,,
2023-08-07,0.0000,,0.0126,0.0000,0.0046,0.1610,0.0000,0.0000,,0.0094,0.0000,,0.3923,0.0000,0.0049,0.0869,0.0000,0.1812,,0.0000,,,,0.0000,,,0.0419,0.0000,0.0000,,,,,,0.0085,0.0967,,,,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,,,,,,,,,,,,,,
2023-08-14,0.0000,,0.0000,0.0000,0.0000,0.1748,0.0000,0.0000,,0.0047,0.0000,,0.3537,0.0000,0.0084,0.0870,0.0000,0.2017,,0.0000,,,0.0000,0.0000,,,0.0047,0.0000,0.0000,,,,,,0.0113,0.0967,,,0.0000,0.0000,0.0000,0.0568,0.0000,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,
2023-08-21,0.0000,,0.0063,0.0000,0.0000,0.1801,0.0000,0.0000,,0.0130,0.0000,,0.3428,0.0000,0.0149,0.0813,0.0000,0.2022,,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0035,0.0978,,,0.0000,,0.0000,0.0579,0.0000,,,0.0000,,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-08-28,0.0000,,0.0036,0.0000,0.0000,0.1837,0.0000,0.0000,,0.0097,0.0000,,0.3347,0.0000,0.0268,0.0828,0.0000,0.2016,,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0988,,0.0000,0.0000,,0.0000,0.0583,0.0000,,,0.0000,,0.0000,,,,,,,,,,,,,
2023-09-04,0.0000,,0.0069,0.0000,0.0000,0.1794,0.0000,0.0000,,0.0000,0.0000,,0.3324,0.0000,0.0287,0.0744,0.0000,0.2060,,0.0000,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,,,,,,0.0090,0.1023,,0.0000,0.0000,,0.0000,0.0608,0.0000,,,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,,,,,,,
