,PRIO3.SA,CCRO3.SA,MULT3.SA,BBAS3.SA,WEGE3.SA,GMAT3.SA,RAIL3.SA,HYPE3.SA,PETR3.SA,KLBN11.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,TOTS3.SA,PETR4.SA,SLCE3.SA,CBAV3.SA,SUZB3.SA,ABEV3.SA,VAMO3.SA,ITUB4.SA,RADL3.SA,BEEF3.SA,AZZA3.SA,ITSA4.SA,RECV3.SA,STBP3.SA,CMIG4.SA,CPFE3.SA,GOAU4.SA,ISAE4.SA,GGBR4.SA,VIVT3.SA,ENGI11.SA,COGN3.SA,DIRR3.SA,ECOR3.SA,YDUQ3.SA,LWSA3.SA,BPAC11.SA,CYRE3.SA,BBSE3.SA,ENEV3.SA,RENT3.SA,MDIA3.SA,IGTI11.SA,EQTL3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,BRAV3.SA,FLRY3.SA,ALOS3.SA,RAIZ4.SA,DXCO3.SA,B3SA3.SA,CPLE6.SA,EMBR3.SA,CMIN3.SA,SMTO3.SA,CSAN3.SA,PSSA3.SA,VBBR3.SA,NTCO3.SA
2023-03-20,0.0193,0.0000,0.0000,0.0000,0.1325,0.0000,0.0000,0.0468,0.1985,0.0000,0.0000,0.0000,0.3964,0.0000,0.0000,0.0638,0.0000,0.0460,0.0000,0.0000,0.0000,0.0000,0.0966,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0124,0.0000,0.0000,0.0000,0.1683,0.0000,0.0000,0.0058,0.2127,0.0000,0.0000,0.0000,0.4073,0.0000,0.0000,0.0753,0.0000,0.0211,0.0000,0.0000,0.0000,0.0000,0.0971,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0067,0.0000,0.0000,0.0000,0.1592,0.0000,0.0000,0.0000,0.1671,0.0000,0.0000,0.0000,0.3048,0.0000,0.0000,0.0709,0.0000,0.0488,0.0000,0.0000,0.0000,0.0000,0.0603,0.0000,0.0000,0.0000,0.0000,0.0057,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0310,0.0000,0.0000,0.0000,0.1331,0.0000,0.0000,0.0000,0.1611,0.0000,0.0000,0.0000,0.3221,0.0000,0.0000,0.0543,0.0000,0.0576,0.0000,0.0000,0.0000,0.0000,0.0428,0.0000,0.0000,0.0000,0.0000,0.0139,0.1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0287,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.1463,0.0000,0.0000,0.0000,0.3649,0.0000,0.0000,0.0558,0.0000,0.0717,0.0000,0.0000,0.0000,0.0000,0.0389,0.0000,0.0000,0.0000,0.0000,0.0005,0.1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0154,0.0000,0.0000,0.0000,0.1386,0.0000,0.0000,0.0000,0.1530,0.0000,0.0000,0.0000,0.3636,0.0000,0.0000,0.0578,0.0000,0.0650,0.0000,0.0000,0.0000,0.0000,0.0360,0.0000,0.0000,0.0000,0.0000,0.0139,0.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0103,,0.0000,0.0000,0.1481,0.0000,,,0.1296,0.0664,,,0.3533,0.0000,0.0018,0.0596,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0287,,0.0000,0.0000,0.0000,,0.1809,0.0000,0.0000,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0155,,0.0000,0.0000,0.1275,0.0000,,,0.1351,0.0746,,,0.3967,0.0000,0.0034,0.0602,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0304,,0.0000,0.0000,0.0000,,0.1484,0.0000,0.0000,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.1021,,0.0000,0.1332,0.1243,0.0000,,,,0.0776,,,0.4249,0.0000,,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,,,0.1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.0682,,0.0000,0.0277,0.0833,0.0000,,,,0.1572,,,0.2755,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,0.1047,0.0000,0.0000,0.0085,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1925,0.0000,0.0000,0.0762,,,,,,,,,,,,,,,,,,,
