,ABEV3.SA,AZZA3.SA,BBAS3.SA,BEEF3.SA,CBAV3.SA,CCRO3.SA,EGIE3.SA,GMAT3.SA,HYPE3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MULT3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RAIL3.SA,SLCE3.SA,SUZB3.SA,UGPA3.SA,VAMO3.SA,ITSA4.SA,RECV3.SA,STBP3.SA,CMIG4.SA,CPFE3.SA,GGBR4.SA,GOAU4.SA,IGTI11.SA,ISAE4.SA,BPAC11.SA,COGN3.SA,CYRE3.SA,DIRR3.SA,ECOR3.SA,ENGI11.SA,VIVT3.SA,YDUQ3.SA,BBSE3.SA,ENEV3.SA,MDIA3.SA,RENT3.SA,WEGE3.SA,BRAV3.SA,ELET3.SA,ELET6.SA,EQTL3.SA,FLRY3.SA,MRVE3.SA,ALOS3.SA,RAIZ4.SA,B3SA3.SA,CPLE6.SA,DXCO3.SA,EMBR3.SA,TOTS3.SA,CMIN3.SA,CSAN3.SA,SMTO3.SA,PSSA3.SA,VBBR3.SA,NTCO3.SA
2023-03-20,0.1703,0.0102,0.0765,0.0061,0.0037,0.0196,0.0244,0.0109,0.0207,0.1506,0.0136,0.0125,0.0092,0.1804,0.1655,0.0221,0.0297,0.0069,0.0441,0.0118,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.1565,0.0092,0.0723,0.0058,0.0033,0.0186,0.0227,0.0098,0.0187,0.1434,0.0125,0.0117,0.0087,0.1701,0.1559,0.0210,0.0274,0.0064,0.0399,0.0111,0.0103,0.0565,0.0039,0.0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.1503,0.0086,0.0693,0.0048,0.0034,0.0184,0.0211,0.0092,0.0161,0.1362,0.0119,0.0097,0.0083,0.1691,0.1537,0.0201,0.0265,0.0060,0.0379,0.0108,0.0096,0.0537,0.0035,0.0044,0.0158,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.1505,0.0087,0.0695,0.0048,0.0027,0.0186,0.0210,0.0088,0.0161,0.1388,0.0118,0.0097,0.0086,0.1681,0.1527,0.0215,0.0257,0.0059,0.0362,0.0111,0.0092,0.0537,0.0036,0.0043,0.0160,0.0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.1454,0.0088,0.0734,0.0042,0.0026,0.0179,0.0206,0.0086,0.0158,0.1384,0.0114,0.0099,0.0083,0.1715,0.1576,0.0211,0.0258,0.0057,0.0337,0.0105,0.0099,0.0538,0.0035,0.0042,0.0159,0.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.1425,0.0085,0.0738,0.0040,0.0024,0.0179,0.0207,0.0083,0.0154,0.1363,0.0116,0.0090,0.0080,0.1748,0.1618,0.0206,0.0262,0.0055,0.0334,0.0107,0.0093,0.0539,0.0033,0.0040,0.0161,0.0220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.1589,,0.0797,0.0043,0.0026,,0.0232,0.0092,,0.1501,0.0133,,0.0092,0.1830,0.1703,0.0221,,0.0061,,,0.0092,0.0591,0.0034,0.0045,,0.0243,0.0286,0.0076,0.0193,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.1540,,0.0782,0.0045,0.0027,,0.0244,0.0094,,0.1513,0.0137,,0.0092,0.1863,0.1748,0.0217,,0.0056,,,0.0086,0.0591,0.0035,0.0043,,0.0230,0.0279,0.0074,0.0187,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.1990,,0.1035,,,,0.0316,0.0138,,0.1989,0.0185,,0.0118,,,0.0278,,0.0072,,,0.0112,0.0775,0.0039,,,0.0305,0.0358,0.0096,0.0245,0.0154,0.0803,0.0042,0.0055,0.0023,0.0044,0.0201,0.0594,0.0030,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.1886,,0.0959,,,,0.0290,0.0135,,0.1840,0.0183,,0.0112,,,0.0277,,,,,0.0118,,,,,0.0285,0.0349,0.0092,0.0242,0.0143,0.0768,0.0044,0.0055,0.0024,0.0042,0.0190,0.0561,0.0031,0.0466,0.0213,0.0120,0.0576,,,,,,,,,,,,,,,,,,,,
