,PRIO3.SA,CCRO3.SA,MULT3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,PETR4.SA,SLCE3.SA,CBAV3.SA,SUZB3.SA,ABEV3.SA,VAMO3.SA,ITUB4.SA,BEEF3.SA,AZZA3.SA,ITSA4.SA,RECV3.SA,STBP3.SA,CMIG4.SA,CPFE3.SA,GOAU4.SA,ISAE4.SA,GGBR4.SA,ENGI11.SA,COGN3.SA,DIRR3.SA,ECOR3.SA,YDUQ3.SA,BPAC11.SA,CYRE3.SA,BBSE3.SA,MDIA3.SA,IGTI11.SA,VIVT3.SA,EQTL3.SA,ENEV3.SA,RAIL3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,BRAV3.SA,ALOS3.SA,RAIZ4.SA,DXCO3.SA,TOTS3.SA,B3SA3.SA,CPLE6.SA,FLRY3.SA,CMIN3.SA,RENT3.SA,SMTO3.SA,CSAN3.SA,PSSA3.SA,VBBR3.SA,NTCO3.SA
2023-03-20,0.0470,0.0000,0.0000,0.0000,0.0000,0.1016,0.1947,0.0000,0.0000,0.4312,0.0000,0.0402,0.0000,0.0732,0.0000,0.0000,0.0000,0.1122,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0498,0.0000,0.0000,0.0000,0.0000,0.0718,0.2152,0.0000,0.0000,0.4500,0.0000,0.0447,0.0000,0.0499,0.0000,0.0000,0.0000,0.1186,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0342,0.0000,0.0000,0.0000,0.0000,0.0000,0.1610,0.0000,0.0000,0.3673,0.0000,0.0477,0.0000,0.0802,0.0000,0.0000,0.0000,0.0782,0.0000,0.0000,0.0000,0.0000,0.0728,0.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0520,0.0000,0.0000,0.0000,0.0000,0.0000,0.1518,0.0000,0.0000,0.3824,0.0000,0.0362,0.0000,0.0870,0.0000,0.0000,0.0000,0.0582,0.0000,0.0000,0.0000,0.0000,0.0679,0.1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.1374,0.0000,0.0000,0.4191,0.0000,0.0411,0.0000,0.0998,0.0053,0.0000,0.0000,0.0526,0.0000,0.0000,0.0000,0.0000,0.0483,0.1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.1442,0.0000,0.0000,0.4261,0.0000,0.0379,0.0000,0.0950,0.0000,0.0000,0.0000,0.0522,0.0000,0.0000,0.0000,0.0000,0.0738,0.1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0316,,0.0000,0.0000,0.0000,,0.1131,,,0.4986,0.0000,0.0359,0.0000,,0.0080,0.0000,0.0000,0.0504,,0.0000,0.0000,0.0000,,0.1780,0.0000,0.0037,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0303,,0.0000,0.0000,0.0000,,0.1136,,,0.5210,0.0000,0.0415,0.0000,,0.0044,0.0000,0.0000,0.0506,,0.0000,0.0000,0.0000,,0.1416,0.0000,0.0282,0.0688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.1177,,0.0000,0.0942,0.0000,,,,,0.5903,,0.0000,,,0.0000,0.0000,0.0000,,,0.0000,0.0000,,,0.1369,0.0000,0.0000,0.0533,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.0866,,0.0000,0.0000,0.0000,,,,,0.4100,,,,,0.0000,0.0000,0.0000,,,,,,,0.0950,0.0117,0.0443,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1890,0.0930,,,,,,,,,,,,,,,,,,,,,,,
