,ABEV3.SA,AZZA3.SA,BBAS3.SA,BEEF3.SA,CBAV3.SA,CCRO3.SA,EGIE3.SA,GMAT3.SA,HYPE3.SA,ITUB4.SA,LREN3.SA,MULT3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,SLCE3.SA,SUZB3.SA,UGPA3.SA,VAMO3.SA,ITSA4.SA,RECV3.SA,STBP3.SA,CMIG4.SA,CPFE3.SA,GGBR4.SA,GOAU4.SA,IGTI11.SA,ISAE4.SA,BPAC11.SA,COGN3.SA,CYRE3.SA,DIRR3.SA,ECOR3.SA,ENGI11.SA,YDUQ3.SA,BBSE3.SA,MDIA3.SA,VIVT3.SA,BRAV3.SA,ELET3.SA,ELET6.SA,ENEV3.SA,EQTL3.SA,MRVE3.SA,RAIL3.SA,ALOS3.SA,RAIZ4.SA,B3SA3.SA,CPLE6.SA,DXCO3.SA,FLRY3.SA,TOTS3.SA,CMIN3.SA,CSAN3.SA,RENT3.SA,SMTO3.SA,PSSA3.SA,VBBR3.SA,NTCO3.SA
2023-03-20,0.1780,0.0106,0.0800,0.0064,0.0039,0.0205,0.0255,0.0114,0.0216,0.1574,0.0131,0.0097,0.1885,0.1730,0.0231,0.0072,0.0461,0.0123,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.1630,0.0096,0.0753,0.0060,0.0034,0.0193,0.0236,0.0102,0.0195,0.1494,0.0121,0.0091,0.1772,0.1624,0.0219,0.0067,0.0416,0.0115,0.0108,0.0588,0.0040,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.1563,0.0089,0.0721,0.0050,0.0036,0.0192,0.0219,0.0096,0.0168,0.1417,0.0101,0.0086,0.1758,0.1598,0.0209,0.0062,0.0394,0.0112,0.0100,0.0558,0.0037,0.0045,0.0164,0.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.1564,0.0091,0.0722,0.0050,0.0028,0.0193,0.0218,0.0092,0.0167,0.1442,0.0100,0.0090,0.1747,0.1586,0.0224,0.0062,0.0376,0.0115,0.0095,0.0558,0.0037,0.0044,0.0167,0.0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.1510,0.0091,0.0762,0.0044,0.0027,0.0186,0.0214,0.0089,0.0164,0.1437,0.0103,0.0086,0.1782,0.1637,0.0219,0.0059,0.0351,0.0109,0.0102,0.0559,0.0036,0.0044,0.0165,0.0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.1481,0.0088,0.0767,0.0042,0.0025,0.0187,0.0216,0.0086,0.0160,0.1417,0.0094,0.0084,0.1817,0.1681,0.0214,0.0057,0.0347,0.0111,0.0096,0.0560,0.0034,0.0041,0.0168,0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.1611,,0.0808,0.0044,0.0027,,0.0235,0.0094,,0.1522,,0.0094,0.1855,0.1726,0.0224,0.0061,,,0.0093,0.0599,0.0035,0.0046,,0.0246,0.0290,0.0077,0.0195,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.1561,,0.0793,0.0046,0.0027,,0.0247,0.0095,,0.1534,,0.0094,0.1889,0.1773,0.0220,0.0057,,,0.0087,0.0599,0.0036,0.0044,,0.0233,0.0283,0.0075,0.0190,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.2159,,0.1122,,,,0.0343,0.0150,,0.2158,,0.0128,,,0.0301,0.0078,,,0.0121,0.0841,0.0043,,,0.0331,0.0389,0.0104,0.0266,0.0167,0.0871,0.0046,0.0060,0.0025,0.0047,0.0218,0.0032,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.2228,,0.1132,,,,0.0342,0.0159,,0.2173,,0.0132,,,0.0327,,,,0.0139,,,,,0.0336,0.0412,0.0109,0.0286,0.0169,0.0907,0.0052,0.0065,0.0028,0.0050,0.0224,0.0036,0.0551,0.0141,,,,,,,,,,,,,,,,,,,,,,
