,PRIO3.SA,CCRO3.SA,MULT3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,PETR4.SA,SLCE3.SA,CBAV3.SA,SUZB3.SA,VAMO3.SA,ITUB4.SA,BEEF3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,CPFE3.SA,GOAU4.SA,ISAE4.SA,GGBR4.SA,ENGI11.SA,COGN3.SA,ECOR3.SA,YDUQ3.SA,CYRE3.SA,BBSE3.SA,IGTI11.SA,EQTL3.SA,ENEV3.SA,RAIL3.SA,MRVE3.SA,MDIA3.SA,DIRR3.SA,BRAV3.SA,BPAC11.SA,ALOS3.SA,RAIZ4.SA,ABEV3.SA,DXCO3.SA,TOTS3.SA,FLRY3.SA,CMIN3.SA,RENT3.SA,SMTO3.SA,CSAN3.SA,PSSA3.SA,VBBR3.SA,NTCO3.SA,CPLE6.SA
2023-03-20,0.0474,0.0000,0.0000,0.0000,0.0000,0.1034,0.1945,0.0000,0.0000,0.4292,0.0000,0.0391,0.0000,0.0743,0.0000,0.0000,0.1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0500,0.0000,0.0000,0.0000,0.0000,0.0705,0.2151,0.0000,0.0000,0.4517,0.0000,0.0448,0.0000,0.0494,0.0000,0.0000,0.1185,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0354,0.0000,0.0000,0.0000,0.0000,0.0000,0.1599,0.0000,0.0000,0.3684,0.0000,0.0465,0.0000,0.0803,0.0000,0.0000,0.0775,0.0000,0.0000,0.0749,0.1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0525,0.0000,0.0000,0.0000,0.0000,0.0000,0.1517,0.0000,0.0000,0.3825,0.0000,0.0358,0.0000,0.0874,0.0000,0.0000,0.0579,0.0000,0.0000,0.0672,0.1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0473,0.0000,0.0000,0.0000,0.0000,0.0000,0.1363,0.0000,0.0000,0.4243,0.0000,0.0402,0.0000,0.1005,0.0000,0.0000,0.0536,0.0000,0.0000,0.0485,0.1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0355,0.0000,0.0000,0.0000,0.0000,0.0000,0.1449,0.0000,0.0000,0.4263,0.0000,0.0393,0.0000,0.0942,0.0000,0.0000,0.0523,0.0000,0.0000,0.0731,0.1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0316,,,0.0000,0.0000,,0.1116,,,0.5053,0.0000,0.0350,0.0000,,0.0000,0.0000,0.0516,0.0000,0.0000,,0.1772,0.0000,0.0071,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0303,,,0.0000,0.0000,,0.1126,,,0.5244,0.0000,0.0410,0.0000,,0.0000,0.0000,0.0512,0.0000,0.0000,,0.1412,0.0000,0.0303,0.0690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.1192,,,0.0968,,,,,,0.5944,,0.0000,,,0.0000,0.0000,,0.0000,0.0000,,0.1372,0.0000,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.1196,,,0.0192,,,,,,0.4707,,,,,0.0000,0.0000,,,,,0.1264,0.0000,0.0131,0.0636,0.0000,0.0000,0.0000,0.0000,0.0000,0.1873,,,,,,,,,,,,,,,,,,,,,,,
2023-05-29,0.0982,,,0.0198,,,,,,0.4229,,,,,0.0000,0.0000,,,,,0.1260,0.0000,0.0193,0.0812,0.0000,0.0000,0.0000,0.0000,0.0000,0.2324,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05,0.1290,,,0.0660,,,,,,0.4025,,,,,0.0000,0.0000,,,,,0.0888,0.0000,0.0000,0.0631,0.0000,0.0000,0.0000,0.0000,0.0000,0.2505,,,,,,,,,,,,,,,,,,,,,,,
2023-06-12,0.0191,,,0.0000,,,,,,0.3616,,,,,0.0000,0.0583,,,,,0.0310,0.1277,0.2812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1211,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-06-19,0.0145,,,0.0000,,,,,,0.3628,,,,,0.0000,0.0592,,,,,0.0251,0.1288,0.2999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1097,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-06-26,0.0041,,,0.0000,,,,,,0.3565,,,,,0.0000,0.0599,,,,,0.0076,0.1335,0.3340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1044,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,0.0086,,,0.0000,,,,,,0.3631,,,,,0.0000,0.0618,,,,,0.0261,0.1328,0.2980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1097,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-07-10,0.0088,,,0.0000,,,,,,0.3560,,,,,0.0000,0.0639,,,,,0.0285,0.1346,0.2967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1115,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-07-17,0.0139,,,0.0000,,,,,,0.3606,,,,,0.0000,0.0592,,,,,0.0345,0.1361,0.2852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1104,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-07-24,0.0139,,,0.0000,,,,,,0.3619,,,,,0.0000,0.0600,,,,,0.0314,0.1351,0.2882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1094,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-07-31,0.0060,,0.0000,0.0000,,0.0414,,,,0.3463,,,,,0.0000,0.0559,,,,,0.0171,0.1345,0.2966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1022,0.0000,,,,,,,,,,,,,,,,,,,,,,
2023-08-07,0.0107,,0.0000,0.0000,,0.0429,,,,0.5739,,,,,0.0000,0.0574,,,,,0.0811,0.1417,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0923,,,,,,,,,,,,,,,,,,,,,,,
2023-08-14,0.0431,,0.0000,0.0000,,0.0478,,,,0.5905,,,,,,0.0755,,,0.0000,,0.0490,,,,,,0.0000,,0.0000,0.1382,,0.0268,0.0000,0.0000,0.0000,0.0290,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
2023-08-21,0.0691,,0.0000,0.0000,,0.0397,,,,0.5609,,,,,,0.0000,,0.0719,0.0000,,,,,,,,0.0000,,0.0000,0.1883,,0.0673,0.0000,0.0000,0.0000,,0.0028,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-08-28,0.0590,,0.0000,0.0000,,0.0480,,,,0.5675,,,,,,0.0000,,0.0848,0.0000,,,,,,,,0.0000,,0.0000,0.1752,,0.0655,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-09-04,0.0583,,0.0000,0.0000,,0.0472,,,,0.5590,,,,,,0.0000,,0.0920,0.0000,,,,,,,,0.0000,,0.0000,0.1789,,0.0646,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-09-11,0.0561,,0.0000,0.0000,,0.0360,,,,0.5580,,,,,,0.0025,,0.0836,0.0000,,,,,,,,0.0000,,0.0000,0.1875,,0.0763,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-09-18,0.0472,,0.0000,0.0000,,0.0591,,,,0.5731,,,,,,0.0044,,0.1073,0.0000,,,,,,,,0.0000,,0.0000,0.1632,,0.0457,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-09-25,0.0423,,0.0000,0.0000,,0.0635,,,,0.5865,,,,,,0.0053,,0.1075,0.0000,,,,,,,,0.0000,,0.0000,0.1555,,0.0394,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-10-02,0.0531,,0.0000,0.0000,,0.0677,,,,0.5515,,,,,,0.0092,,0.0729,0.0000,,,,,,,,0.0000,,0.0000,0.1961,,0.0467,0.0000,0.0000,0.0000,,0.0028,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-10-09,0.0364,,0.0000,0.0000,,0.0838,,,,0.5298,,,,,,0.1315,,0.0000,0.0000,,,,,,,,0.0000,,0.0000,0.1750,,0.0433,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-10-16,0.0561,,0.0000,0.0000,,0.0601,,,,0.4855,,,,,,0.1155,,0.0000,0.0000,,,,,,,,0.0000,,0.0000,0.2324,,0.0479,0.0000,0.0000,0.0000,,0.0024,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-10-23,0.0426,,0.0000,0.0000,,0.0787,,,,0.5064,,,,,,0.1261,,0.0000,0.0000,,,,,,,,0.0000,,0.0000,0.1838,,0.0525,0.0000,0.0000,0.0000,,0.0099,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-10-30,0.0428,,0.0000,0.0000,,0.0422,,,,0.4751,,,,,,0.1295,,0.0000,0.0000,,,,,,,,0.0000,,0.0000,0.1985,,0.0836,0.0000,0.0000,0.0000,,0.0282,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
2023-11-06,0.0466,,0.0000,0.0000,,0.0214,,,,0.4290,,,,,,0.1180,,0.0000,0.0000,,,,,,,,0.0000,,0.0000,0.2079,,0.0875,0.0000,0.0000,0.0000,,0.0338,0.0000,0.0000,0.0000,0.0000,0.0558,,,,,,,,,,,
2023-11-13,0.0324,,0.0000,0.0000,,0.0288,,,0.0000,0.3704,,0.0832,,,,0.1258,,0.0000,,0.0000,,,,,0.0000,,0.0000,,,0.2276,,0.0925,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0392,0.0000,0.0000,0.0000,,,,,,,,
2023-11-20,0.0000,,0.0000,0.0000,,0.0195,,,0.0000,0.3664,,0.1104,,,,0.0688,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1839,,0.0336,,0.0000,,0.0406,,,0.0000,,,0.1168,0.0000,0.0000,0.0000,0.0599,0.0000,0.0000,0.0000,,,,
2023-11-27,0.0000,,0.0000,0.0000,,0.0259,,,0.0000,0.3789,,0.1077,,,,0.0493,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1753,,0.0336,,0.0000,,0.0363,,,0.0000,,,0.1381,0.0000,0.0000,0.0000,0.0550,0.0000,0.0000,0.0000,,,,
2023-12-04,0.0000,,0.0000,0.0000,,0.0252,,,0.0000,0.3876,,0.1145,,,,0.0448,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1609,,0.0200,,0.0000,,0.0291,,,0.0000,,,0.1696,0.0000,0.0000,0.0000,0.0482,0.0000,0.0000,0.0000,,,,
2023-12-11,0.0000,,0.0000,0.0000,,0.0234,,,0.0000,0.3913,,0.1142,,,,0.0430,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1600,,0.0204,,0.0000,,0.0285,,,0.0000,,,0.1711,0.0000,0.0000,0.0000,0.0481,0.0000,0.0000,0.0000,,,,
2023-12-18,0.0000,,0.0000,0.0000,,0.0276,,,0.0000,0.3852,,0.1158,,,,0.0431,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1596,,0.0233,,0.0000,,0.0278,,,0.0000,,,0.1701,0.0000,0.0000,0.0000,0.0475,0.0000,0.0000,0.0000,,,,
2023-12-26,0.0000,,0.0000,0.0000,,0.0300,,,0.0000,0.3885,,0.1096,,,,0.0380,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1564,,0.0271,,0.0000,,0.0278,,,0.0000,,,0.1714,0.0000,0.0000,0.0000,0.0511,0.0000,0.0000,0.0000,,,,
2024-01-02,0.0000,,0.0000,0.0000,,0.0314,,,0.0000,0.3852,,0.1143,,,,0.0347,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1578,,0.0264,,0.0000,,0.0285,,,0.0000,,,0.1723,0.0000,0.0000,0.0000,0.0494,0.0000,0.0000,0.0000,,,,
2024-01-08,0.0000,,0.0000,0.0000,,0.0321,,,0.0000,0.3728,,0.1075,,,,0.0000,,0.0000,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1751,,0.0479,,0.0000,,0.0313,,,0.0000,,,0.1851,0.0000,0.0000,0.0000,0.0481,0.0000,0.0000,0.0000,,,,
2024-01-15,0.0000,,0.0000,0.0000,,0.0328,,,0.0000,0.3645,,0.1105,,,,0.0000,,0.0051,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1604,,0.0620,,0.0000,,0.0249,,,0.0000,,,0.1996,0.0000,0.0000,0.0000,0.0403,0.0000,0.0000,0.0000,,,,
2024-01-22,0.0000,,0.0000,0.0000,,0.0234,,,0.0000,0.3414,,0.1161,,,,0.0000,,0.0032,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.1886,,0.0694,,0.0000,,0.0331,,,0.0000,,,0.1868,0.0000,0.0000,0.0000,0.0379,0.0000,0.0000,0.0000,,,,
2024-01-29,0.0000,,0.0000,0.0000,,0.0122,,,0.0000,0.3158,,0.1109,,,,0.0038,,0.0041,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.2296,,0.0822,,0.0000,,0.0427,,,0.0000,,,0.1598,0.0000,0.0000,0.0000,0.0389,0.0000,0.0000,0.0000,,,,
2024-02-05,0.0000,,0.0000,0.0000,,0.0148,,,0.0000,0.3012,,0.1105,,,,0.0029,,0.0071,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.2367,,0.0869,,0.0000,,0.0432,,,0.0000,,,0.1585,0.0000,0.0000,0.0000,0.0381,0.0000,0.0000,0.0000,,,,
2024-02-14,0.0000,,0.0000,0.0000,,0.0124,,,0.0000,0.2942,,0.1098,,,,0.0114,,0.0048,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.2481,,0.0852,,0.0000,,0.0497,,,0.0000,,0.0000,0.1458,0.0000,,0.0000,0.0386,0.0000,,0.0000,,,,
2024-02-19,0.0000,,0.0000,0.0000,,0.0094,,,0.0000,0.3018,,0.1156,,,,0.0118,,0.0100,,0.0000,,,,,0.0000,,0.0000,0.0000,,0.2435,,0.0721,,0.0000,,0.0494,,,0.0000,,0.0000,0.1470,0.0000,,0.0000,0.0394,0.0000,,0.0000,,,,
2024-02-26,0.0064,,0.0000,0.0000,,0.0000,,,0.0000,0.2321,,0.1041,,,,0.0004,,0.0000,,0.0000,,,0.1677,,0.0000,,0.0000,0.0000,,0.2370,0.0000,0.0468,,,,0.0514,,,0.0000,,0.0000,0.1197,0.0000,,0.0000,0.0344,0.0000,,0.0000,,,,
2024-03-04,0.0000,,0.0000,0.0000,,0.0050,,,0.0000,0.3006,,0.1170,,,,0.0000,,0.0000,,0.0000,,,0.2061,,0.0000,,0.0000,0.0000,,0.2146,0.0000,0.0451,,,,0.0579,,,0.0000,,0.0000,,0.0000,,0.0166,0.0280,0.0000,,0.0000,0.0091,,,
2024-03-11,0.0341,,0.0000,0.0000,0.0000,0.0165,,,0.0000,0.3077,,,,,,0.0000,,0.0000,,0.0000,,,0.2115,,0.0000,,0.0000,0.0000,,0.2152,0.0000,0.0528,,,,0.0485,,0.0000,0.0000,,0.0000,,0.0000,,0.0119,0.0425,0.0000,,0.0000,0.0593,0.0000,,
2024-03-18,0.0393,,0.0000,0.0000,0.0000,,,,0.0000,0.3078,,,,,,0.0000,,0.0042,,0.0000,,,0.2167,,0.0000,,0.0000,0.0000,0.0000,0.2225,0.0000,0.0689,,,,0.0525,0.0000,0.0000,0.0000,,0.0000,,0.0000,,0.0000,0.0308,,,0.0000,0.0572,0.0000,0.0000,
2024-03-25,0.0244,,0.0000,0.0000,0.0000,,,,0.0000,0.3320,,,,,,0.0000,,,,0.0000,0.0000,,0.2114,,0.0000,,0.0000,0.0000,0.0000,0.2283,0.0000,0.0422,,,,0.0548,0.0310,0.0000,0.0000,,0.0000,,0.0000,,0.0000,0.0319,,,0.0000,0.0441,0.0000,0.0000,0.0000
