,CMIN3.SA,PETZ3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,ALPA4.SA,VIVT3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,WEGE3.SA,GMAT3.SA,HYPE3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,TOTS3.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,ELET3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,MGLU3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,RADL3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,AZZA3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,MDIA3.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,DIRR3.SA,BPAC11.SA,COGN3.SA,BBSE3.SA,MRVE3.SA,ENEV3.SA,RECV3.SA,IGTI11.SA,BRAV3.SA,LWSA3.SA,CVCB3.SA,SBSP3.SA,RAIL3.SA,CASH3.SA,BHIA3.SA,EMBR3.SA,ALOS3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.0000,0.0996,0.0000,0.0000,0.0000,0.0000,0.0000,0.1655,0.0000,0.1452,0.0000,0.1131,0.0000,0.0000,0.0000,0.0000,0.3126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1042,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.0000,0.0557,0.0000,0.0000,0.0000,0.0000,0.0000,0.1566,0.0000,0.1291,0.0000,0.0210,0.0000,0.0000,0.0000,0.0000,0.2868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0000,0.0375,0.0000,0.0000,0.0000,0.0000,0.0000,0.1135,0.0000,0.1519,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.2244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0733,0.0000,0.0000,0.0009,0.2185,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0000,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0990,0.0000,0.1161,0.0000,0.0000,0.0324,0.0000,0.0000,0.0000,0.2624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045,0.0000,0.0000,0.0000,0.0958,0.0000,0.0000,0.0128,0.2063,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0000,0.0534,0.0000,0.0000,0.0467,0.0000,0.0000,0.0997,0.0000,0.0964,0.0000,0.0000,0.0651,0.0000,0.0000,0.0000,0.2390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.0000,0.0000,0.1005,0.0000,0.0000,0.0000,0.1776,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0000,0.0430,0.0000,0.0000,0.0436,0.0000,0.0000,0.1139,0.0000,0.1200,0.0000,0.0000,0.0595,0.0000,0.0000,0.0000,0.2266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0937,0.0000,0.0000,0.0194,0.1788,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0000,0.0605,0.0000,,0.0000,0.0000,0.0000,0.0843,0.0000,0.1053,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.2080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0331,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0869,0.0000,0.0000,0.0000,0.1606,0.0000,0.0000,0.0370,0.0000,0.0000,0.0000,0.1829,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.0000,0.0728,0.0000,,0.0000,0.0000,0.0000,0.0982,0.0000,0.0628,0.0000,0.0000,0.0668,0.0000,0.0000,0.0000,0.1495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0097,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,0.0000,0.0000,0.0000,0.1206,0.0000,0.0000,0.0000,0.1073,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.2604,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0000,,0.0000,0.0214,0.0000,,0.0249,0.0000,0.0000,0.0000,0.0000,0.0457,0.0000,0.0000,0.0306,0.0000,0.0000,0.0000,0.1186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0557,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.0241,0.0000,0.0000,0.0000,0.0978,0.0000,0.0000,0.0747,0.0000,0.0000,0.0000,0.3662,0.0000,0.0433,0.0000,0.0376,0.0080,0.0000,0.0000,,,,,,,,,,,,,,,
2023-05-22,0.0000,,0.0000,0.0000,0.0000,,0.0134,0.0000,0.0000,0.0000,0.0000,0.0167,0.0000,0.0000,0.0355,0.0000,0.0000,0.0000,0.1408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0704,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0389,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0735,0.0000,0.0000,0.1177,0.0000,0.0000,0.0000,0.2099,0.0000,0.0000,0.0000,0.0371,0.0223,0.0000,0.0000,0.1833,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-05-29,0.0000,,0.0000,0.0000,0.0000,,0.0112,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0214,0.0000,0.0000,0.0000,0.1545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0016,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0385,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0675,0.0000,0.0000,0.1316,0.0000,0.0000,0.0000,0.2028,0.0000,0.0000,0.0000,0.0355,0.0270,0.0000,0.0000,0.1909,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-05,0.0000,,0.0000,0.0000,0.0000,,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0686,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0396,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0552,0.0000,0.0000,0.1525,0.0000,0.0000,0.0000,0.2267,0.0000,0.0000,0.0000,0.0403,0.0378,0.0000,0.0000,0.1882,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-12,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,0.2769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0884,0.0000,0.0000,0.0000,0.0226,,0.0000,,0.0884,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0356,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1729,0.0000,0.0000,0.0000,0.0902,0.0000,0.0000,0.0000,0.0000,0.0635,0.0000,0.0000,0.1493,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-06-19,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.2667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0869,0.0000,0.0000,0.0000,0.0233,,0.0000,,0.0840,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0353,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1766,0.0000,0.0000,0.0000,0.1043,0.0000,0.0000,0.0000,0.0000,0.0632,0.0000,0.0000,0.1462,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
