,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,VIVT3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,GMAT3.SA,HYPE3.SA,KLBN11.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,ELET3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,AZZA3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,MDIA3.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,DIRR3.SA,BPAC11.SA,COGN3.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,IGTI11.SA,ENEV3.SA,BRAV3.SA,LWSA3.SA,RADL3.SA,ELET6.SA,CVCB3.SA,SBSP3.SA,RAIL3.SA,TOTS3.SA,CASH3.SA,BHIA3.SA,MGLU3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.1124,0.0000,0.0238,0.0000,0.0000,0.1563,0.0000,0.0000,0.1795,0.0000,0.0000,0.0000,0.3397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1164,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.0694,0.0000,0.0000,0.0000,0.0000,0.1555,0.0000,0.0000,0.0660,0.0333,0.0000,0.0000,0.2845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0570,0.0000,0.0221,0.0000,0.0000,0.1079,0.0000,0.0000,0.0000,0.0486,0.0000,0.0000,0.2382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.1226,0.0000,0.0000,0.0476,0.1887,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0802,0.0000,0.0302,0.0000,0.0000,0.0923,0.0000,0.0000,0.0000,0.0637,0.0000,0.0000,0.2669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092,0.0000,0.0000,0.0000,0.1295,0.0000,0.0000,0.0459,0.1817,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0616,0.0000,0.0719,0.0000,0.0000,0.0980,0.0000,0.0000,0.0000,0.0925,0.0000,0.0000,0.2473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048,0.0407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0236,0.0000,0.0000,0.0000,0.1328,0.0000,0.0000,0.0097,0.1565,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0517,0.0000,0.0795,0.0000,0.0000,0.1047,0.0000,0.0000,0.0000,0.0904,0.0000,0.0000,0.2346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.1234,0.0000,0.0000,0.0590,0.1509,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0728,0.0000,0.0028,0.0000,0.0000,0.0837,0.0000,0.0000,0.0000,0.0240,0.0000,,0.2111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0346,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0293,0.0000,,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.1289,0.0000,0.0000,0.0000,0.1430,0.0000,0.0000,0.0405,0.0000,0.0000,0.0000,0.2195,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.0781,0.0000,0.0000,0.0000,0.0000,0.0969,0.0000,0.0000,0.0000,0.0718,0.0000,,0.1589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0110,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0319,0.0000,,0.0000,0.0000,0.0000,0.0166,0.0000,0.0000,0.0000,0.1424,0.0000,0.0000,0.0000,0.0951,0.0000,0.0000,0.0119,0.0000,0.0000,0.0000,0.2832,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0000,0.0000,0.0221,0.0000,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0382,0.0000,,0.1245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0501,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0510,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0348,0.0000,,0.0000,0.0927,0.0000,0.0000,0.0848,0.0000,0.0000,0.0000,0.3760,0.0000,0.0390,0.0000,0.0352,0.0244,0.0000,0.0000,,,,,,,,,,,,,,,,,
2023-05-22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0599,0.0000,,0.1394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0619,0.0000,0.0000,,0.0000,,0.0000,0.0207,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0512,0.0000,,0.0000,0.0000,0.0000,,,,,0.0049,0.0000,,0.0000,0.0815,0.0000,0.0000,0.1073,0.0000,0.0000,0.0000,0.2162,0.0000,0.0000,0.0000,0.0407,0.0372,0.0000,0.0000,0.1792,0.0000,0.0000,,,,,,,,,,,,,,
