,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,VALE3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,BEEF3.SA,CSAN3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,VBBR3.SA,JBSS3.SA,EZTC3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,BPAC11.SA,CPLE6.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,ECOR3.SA,IGTI11.SA,EQTL3.SA,ENEV3.SA,MDIA3.SA,DIRR3.SA,VIVT3.SA,ELET6.SA,BRAV3.SA,CVCB3.SA,TOTS3.SA,ELET3.SA,AZZA3.SA,BHIA3.SA,FLRY3.SA,RENT3.SA,PSSA3.SA,NTCO3.SA
2023-03-20,0.0000,0.0000,0.1099,0.0000,0.0000,0.0000,0.1535,0.0000,0.1820,0.0000,0.0000,0.3630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1171,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0000,0.0000,0.1123,0.0000,0.0000,0.0000,0.2014,0.0000,0.1473,0.0000,0.0000,0.3218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0000,0.0000,0.0546,0.0000,0.0000,0.0000,0.0792,0.0000,0.0000,0.0000,0.0000,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0398,0.0000,0.0000,0.0000,0.0000,0.0207,0.1099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1185,0.2155,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0000,0.0000,0.0777,0.0000,0.0000,0.0000,0.0622,0.0000,0.0001,0.0000,0.0000,0.3356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0323,0.0000,0.0000,0.0000,0.0000,0.0348,0.0896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1211,0.2095,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0000,0.0000,0.0637,0.0000,0.0000,0.0000,0.0708,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0443,0.0000,0.0000,0.0000,0.0000,0.0763,0.1018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0915,0.1918,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0000,0.0000,0.0532,0.0000,0.0000,0.0000,0.0772,0.0000,0.0000,0.0000,0.0000,0.3234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0398,0.0000,0.0000,0.0000,0.0000,0.0604,0.1027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1301,0.1853,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0000,0.0000,0.0857,0.0000,0.0000,0.0000,0.0696,0.0000,0.0000,0.0000,,0.2224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0623,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0748,0.1850,0.0000,0.0000,0.0495,0.0000,0.0000,0.0000,0.2332,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0000,0.0000,0.1009,0.0000,0.0000,0.0000,0.0939,0.0000,0.0000,0.0000,,0.1527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0491,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0522,0.1563,0.0000,0.0000,0.0445,0.0000,0.0000,0.0000,0.3302,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0000,0.0000,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0000,0.0000,0.0000,,0.0046,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0892,0.0000,0.0000,0.1076,0.0000,0.0000,0.0000,0.4127,0.0000,0.0366,0.0000,0.0352,0.0000,0.0434,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.0000,0.0000,0.0119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0570,0.0000,0.0000,0.0000,,0.0232,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0509,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0791,0.0000,0.0000,0.1400,0.0000,0.0000,0.0000,0.2490,0.0000,0.0000,0.0000,0.0492,0.0000,0.0116,0.1825,0.0000,0.0000,,,,,,,,,,,,,,,,,,
