,ABEV3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,CBAV3.SA,CMIN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,ENGI11.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,HYPE3.SA,ISAE4.SA,ITUB4.SA,LREN3.SA,MRFG3.SA,MULT3.SA,PCAR3.SA,PRIO3.SA,SLCE3.SA,SMTO3.SA,TAEE11.SA,USIM5.SA,VALE3.SA,VAMO3.SA,BRKM5.SA,ITSA4.SA,JBSS3.SA,SIMH3.SA,VBBR3.SA,CMIG4.SA,CPFE3.SA,EZTC3.SA,QUAL3.SA,CCRO3.SA,EGIE3.SA,GOLL4.SA,SANB11.SA,SUZB3.SA,UGPA3.SA,BPAC11.SA,CPLE6.SA,PETR3.SA,PETR4.SA,RAIZ4.SA,YDUQ3.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,ECOR3.SA,IGTI11.SA,DIRR3.SA,ENEV3.SA,EQTL3.SA,MDIA3.SA,VIVT3.SA,AZZA3.SA,BHIA3.SA,BRAV3.SA,CVCB3.SA,ELET3.SA,ELET6.SA,FLRY3.SA,TOTS3.SA,RENT3.SA,PSSA3.SA,NTCO3.SA
2023-03-20,0.1426,0.0130,0.0420,0.0640,0.0805,0.0820,0.0051,0.0031,0.0136,0.0182,0.0181,0.0109,0.0034,0.0034,0.0120,0.0256,0.0092,0.0069,0.0173,0.0099,0.1261,0.0105,0.0038,0.0077,0.0014,0.0185,0.0058,0.0056,0.0087,0.0056,0.2162,0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.1300,0.0106,0.0368,0.0600,0.0739,0.0749,0.0048,0.0027,0.0121,0.0159,0.0168,0.0097,0.0030,0.0029,0.0117,0.0242,0.0082,0.0065,0.0155,0.0093,0.1191,0.0097,0.0032,0.0073,0.0013,0.0175,0.0053,0.0049,0.0079,0.0050,0.1882,0.0086,0.0099,0.0469,0.0228,0.0041,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.1271,0.0103,0.0351,0.0586,0.0706,0.0707,0.0041,0.0029,0.0121,0.0161,0.0169,0.0101,0.0029,0.0029,0.0116,0.0237,0.0078,0.0064,0.0137,0.0087,0.1153,0.0082,0.0029,0.0070,0.0013,0.0170,0.0051,0.0054,0.0074,0.0052,0.1829,0.0081,0.0098,0.0454,0.0205,0.0039,0.0086,0.0133,0.0184,0.0015,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.1278,0.0096,0.0361,0.0590,0.0711,0.0723,0.0040,0.0023,0.0118,0.0148,0.0164,0.0100,0.0029,0.0028,0.0121,0.0228,0.0075,0.0062,0.0137,0.0089,0.1179,0.0082,0.0030,0.0073,0.0013,0.0183,0.0050,0.0056,0.0072,0.0052,0.1775,0.0078,0.0103,0.0456,0.0203,0.0039,0.0085,0.0136,0.0189,0.0017,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.1257,0.0098,0.0383,0.0634,0.0725,0.0727,0.0036,0.0022,0.0115,0.0141,0.0170,0.0094,0.0031,0.0029,0.0121,0.0233,0.0074,0.0062,0.0136,0.0087,0.1196,0.0086,0.0028,0.0072,0.0013,0.0182,0.0049,0.0052,0.0073,0.0052,0.1703,0.0085,0.0100,0.0466,0.0194,0.0042,0.0081,0.0137,0.0186,0.0019,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.1263,0.0094,0.0388,0.0654,0.0733,0.0733,0.0036,0.0021,0.0112,0.0140,0.0173,0.0093,0.0031,0.0029,0.0122,0.0233,0.0074,0.0061,0.0136,0.0091,0.1208,0.0080,0.0029,0.0071,0.0014,0.0183,0.0049,0.0055,0.0075,0.0051,0.1627,0.0082,0.0093,0.0478,0.0201,0.0041,0.0080,0.0143,0.0195,0.0018,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.1116,0.0085,0.0332,0.0560,0.0651,0.0664,0.0030,0.0018,0.0105,,0.0144,0.0082,0.0029,0.0025,0.0108,0.0201,0.0065,0.0053,0.0122,0.0082,0.1054,,0.0026,0.0065,,0.0155,0.0043,0.0052,0.0068,0.0048,0.1397,0.0064,0.0084,0.0415,0.0182,0.0035,0.0066,0.0127,0.0171,0.0016,0.0006,0.0149,0.0163,0.0116,0.0671,0.0269,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.1080,0.0088,0.0346,0.0548,0.0672,0.0709,0.0032,0.0019,0.0114,,0.0144,0.0081,0.0029,0.0029,0.0105,0.0196,0.0066,0.0052,0.0119,0.0082,0.1061,,0.0026,0.0065,,0.0152,0.0040,0.0055,0.0065,0.0048,0.1337,0.0060,0.0108,0.0415,0.0177,0.0035,0.0072,0.0115,0.0161,0.0016,0.0006,0.0143,0.0171,0.0119,0.0687,0.0264,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0803,0.0070,0.0267,0.0417,0.0511,0.0536,0.0025,0.0013,0.0078,,0.0113,0.0059,0.0022,0.0023,0.0081,0.0144,0.0056,0.0039,0.0088,0.0062,0.0802,,0.0019,0.0048,,0.0112,0.0029,0.0041,0.0049,0.0036,0.0973,0.0045,0.0071,0.0313,0.0119,0.0028,0.0055,0.0089,0.0123,0.0013,0.0005,0.0104,0.0128,0.0096,0.0532,0.0199,0.0069,0.0324,0.0078,0.1011,0.0947,0.0122,0.0012,,,,,,,,,,,,,,,,,,,,,
2023-05-22,0.0794,0.0084,0.0272,0.0404,0.0510,0.0538,0.0026,0.0014,0.0083,,0.0112,0.0060,0.0023,0.0026,0.0080,0.0147,0.0057,0.0039,0.0091,0.0060,0.0774,,,0.0047,,0.0116,0.0029,0.0043,0.0049,0.0036,0.0949,0.0050,0.0073,0.0305,,0.0030,,0.0086,0.0120,0.0013,0.0005,0.0104,0.0122,0.0099,0.0523,0.0208,0.0070,0.0323,0.0075,0.1010,0.0935,0.0141,0.0013,0.0196,0.0021,0.0016,,,,,,,,,,,,,,,,,,
2023-05-29,0.0793,0.0088,0.0272,0.0407,0.0505,0.0540,0.0025,0.0014,0.0078,,0.0107,0.0055,0.0025,0.0026,0.0078,0.0145,0.0060,0.0039,0.0094,0.0061,0.0783,,,0.0047,,0.0112,0.0028,0.0042,0.0049,0.0033,0.0908,0.0051,0.0070,0.0305,,0.0030,,0.0084,0.0119,0.0014,0.0005,0.0102,0.0122,0.0100,0.0510,0.0206,0.0067,0.0337,0.0076,0.1034,0.0964,0.0135,0.0014,0.0202,0.0022,0.0016,,,,,,,,,,,,,,,,,,
2023-06-05,0.0760,0.0097,0.0285,0.0413,0.0504,0.0536,0.0026,0.0014,0.0080,,0.0115,0.0056,0.0025,0.0026,0.0074,0.0142,0.0062,0.0038,0.0095,0.0058,0.0775,,,0.0044,,0.0110,0.0028,0.0044,0.0047,0.0033,0.0912,0.0050,0.0073,0.0304,,0.0032,,0.0082,0.0109,0.0014,0.0005,0.0104,0.0119,0.0107,0.0509,0.0209,0.0070,0.0344,0.0072,0.1040,0.0973,0.0141,0.0014,0.0191,0.0023,0.0016,,,,,,,,,,,,,,,,,,
2023-06-12,0.0753,0.0096,0.0277,0.0431,0.0492,0.0517,0.0026,0.0014,0.0071,,0.0114,0.0052,0.0023,0.0024,0.0074,0.0134,0.0060,0.0036,0.0097,0.0057,0.0739,,,0.0044,,0.0097,0.0026,0.0041,0.0046,0.0031,0.0855,0.0051,0.0077,0.0292,,0.0031,,0.0083,0.0109,0.0014,0.0005,0.0099,0.0116,0.0119,0.0479,0.0196,0.0066,0.0335,0.0072,0.1159,0.1097,0.0141,0.0015,0.0179,0.0023,0.0015,,,,,,,,,,,,,,,,,,
2023-06-19,0.0736,0.0105,0.0270,0.0430,0.0498,0.0523,0.0026,0.0013,0.0070,,0.0113,0.0054,0.0023,0.0025,0.0072,0.0138,0.0061,0.0037,0.0093,0.0056,0.0774,,,0.0042,,0.0104,0.0026,0.0040,0.0045,0.0031,0.0867,0.0046,0.0086,0.0302,,0.0029,,0.0080,0.0108,0.0013,0.0005,0.0096,0.0116,0.0129,0.0488,0.0197,0.0064,0.0335,0.0070,0.1138,0.1062,0.0137,0.0016,0.0172,0.0023,0.0016,,,,,,,,,,,,,,,,,,
2023-06-26,0.0751,0.0102,0.0257,0.0439,0.0500,0.0509,0.0023,0.0012,0.0068,,0.0114,0.0052,0.0023,0.0024,0.0077,0.0134,0.0061,0.0037,0.0090,0.0057,0.0767,,,0.0045,,0.0107,0.0028,0.0039,0.0045,0.0030,0.0830,0.0042,0.0080,0.0303,,0.0027,,0.0082,0.0115,0.0013,0.0005,0.0095,0.0116,0.0133,0.0488,0.0189,0.0065,0.0338,0.0071,0.1155,0.1082,0.0153,0.0015,0.0170,0.0022,0.0016,,,,,,,,,,,,,,,,,,
2023-07-03,0.0750,0.0104,0.0274,0.0430,0.0503,0.0511,0.0024,0.0012,0.0066,,0.0116,0.0049,0.0024,0.0023,0.0080,0.0136,0.0061,0.0037,0.0096,0.0055,0.0771,,,0.0044,,0.0108,0.0028,0.0036,0.0044,0.0030,0.0827,0.0042,0.0077,0.0305,,0.0027,,0.0083,0.0117,0.0013,0.0005,0.0095,0.0117,0.0145,0.0494,0.0182,0.0068,0.0362,0.0073,0.1118,0.1049,0.0154,0.0017,0.0179,0.0022,0.0016,,,,,,,,,,,,,,,,,,
2023-07-10,0.0744,0.0099,0.0263,0.0426,0.0502,0.0509,0.0024,0.0012,0.0065,,0.0122,0.0050,0.0025,0.0023,0.0082,0.0140,0.0062,0.0038,0.0095,0.0057,0.0786,,,0.0044,,0.0116,0.0030,0.0038,0.0044,0.0031,0.0820,0.0042,0.0076,0.0309,,0.0028,,0.0083,0.0123,0.0014,0.0005,0.0095,0.0117,0.0132,0.0477,0.0185,0.0071,0.0360,0.0073,0.1121,0.1050,0.0149,0.0018,0.0181,0.0026,0.0017,,,,,,,,,,,,,,,,,,
2023-07-17,0.0734,0.0086,0.0273,0.0418,0.0508,0.0519,0.0023,0.0011,0.0067,,0.0126,0.0053,0.0027,0.0021,0.0081,0.0146,0.0060,0.0039,0.0095,0.0056,0.0782,,,0.0043,,0.0123,0.0030,0.0036,0.0044,0.0031,0.0863,0.0041,0.0073,0.0310,,0.0027,,0.0083,0.0123,0.0014,0.0005,0.0094,0.0117,0.0114,0.0480,0.0186,0.0072,0.0375,0.0073,0.1102,0.1030,0.0149,0.0017,0.0176,0.0027,0.0017,,,,,,,,,,,,,,,,,,
2023-07-24,0.0734,0.0092,0.0276,0.0405,0.0503,0.0508,0.0022,0.0011,0.0067,,0.0127,0.0052,0.0027,0.0021,0.0081,0.0147,0.0062,0.0040,0.0091,0.0055,0.0758,,,0.0042,,0.0133,0.0030,0.0036,0.0043,0.0030,0.0870,0.0041,0.0070,0.0305,,0.0027,,0.0082,0.0121,0.0014,0.0005,0.0091,0.0117,0.0115,0.0474,0.0185,0.0070,0.0376,0.0072,0.1127,0.1054,0.0146,0.0018,0.0178,0.0028,0.0019,,,,,,,,,,,,,,,,,,
2023-07-31,0.0712,0.0085,0.0269,0.0405,0.0497,0.0504,0.0023,0.0012,0.0068,0.0099,0.0124,0.0055,0.0028,0.0022,0.0078,0.0151,0.0060,0.0041,0.0088,0.0055,0.0752,,,0.0041,,0.0129,0.0031,0.0036,0.0042,0.0030,0.0850,0.0041,0.0070,0.0303,,0.0029,,0.0081,0.0120,0.0015,0.0004,0.0089,0.0112,0.0105,0.0449,0.0195,0.0067,0.0374,0.0073,0.1139,0.1069,0.0142,0.0019,0.0174,0.0027,0.0018,,,,,,,,,,,,,,,,,,
2023-08-07,,0.0092,0.0293,0.0440,0.0514,0.0514,0.0027,0.0013,0.0072,0.0096,0.0135,0.0056,0.0032,0.0028,0.0084,0.0159,0.0066,0.0044,0.0100,0.0061,0.0803,0.0061,,0.0047,,0.0150,0.0035,0.0040,0.0048,0.0032,0.0924,0.0044,0.0071,0.0333,,0.0035,,,0.0129,0.0018,0.0005,,0.0121,0.0113,0.0484,0.0227,0.0075,0.0407,0.0084,0.1199,0.1148,0.0152,0.0020,0.0200,0.0030,0.0020,0.0021,0.0100,,,,,,,,,,,,,,,,
2023-08-14,,0.0090,0.0279,0.0432,0.0506,0.0507,0.0026,0.0012,0.0069,0.0089,0.0129,0.0053,0.0032,0.0026,0.0084,0.0146,0.0060,0.0040,0.0096,0.0061,0.0783,0.0056,0.0021,0.0046,,0.0151,0.0032,0.0041,0.0045,0.0031,0.0859,0.0044,0.0071,0.0323,,0.0034,,,0.0130,0.0018,0.0004,,0.0116,0.0111,0.0466,0.0226,,0.0398,0.0086,0.1205,0.1153,0.0141,,0.0201,0.0027,0.0020,0.0021,0.0098,0.0013,0.0094,0.0146,0.0051,,,,,,,,,,,,
2023-08-21,,0.0088,0.0284,0.0474,0.0519,0.0532,0.0028,0.0011,0.0072,0.0095,,0.0056,0.0032,0.0026,0.0087,0.0153,0.0064,0.0041,0.0098,0.0064,0.0821,0.0058,0.0021,0.0047,,0.0148,0.0032,0.0041,0.0048,0.0033,0.0905,0.0046,0.0071,,,0.0034,,,0.0134,0.0019,0.0004,,0.0127,0.0096,0.0482,0.0237,,0.0395,,0.1347,0.1300,0.0139,,0.0205,0.0028,0.0021,0.0021,0.0099,0.0013,0.0095,0.0152,0.0054,,,,,,,,,,,,
2023-08-28,,0.0082,0.0279,0.0470,0.0514,0.0528,0.0029,0.0011,0.0072,0.0087,,0.0054,0.0031,0.0025,0.0085,0.0151,0.0061,0.0040,0.0093,0.0063,0.0831,0.0055,0.0019,0.0046,,0.0151,0.0033,0.0046,0.0047,0.0032,0.0909,0.0045,0.0071,,,0.0033,,,0.0135,0.0019,0.0004,,0.0124,0.0090,0.0487,0.0232,,0.0412,,0.1366,0.1314,0.0146,,0.0206,0.0027,0.0021,0.0021,0.0099,0.0012,0.0093,0.0149,0.0051,,,,,,,,,,,,
