,AZUL4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,CBAV3.SA,CMIN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,ENGI11.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ISAE4.SA,ITUB4.SA,LREN3.SA,MRFG3.SA,PCAR3.SA,PRIO3.SA,SLCE3.SA,TAEE11.SA,USIM5.SA,VALE3.SA,VAMO3.SA,BRKM5.SA,ITSA4.SA,JBSS3.SA,SIMH3.SA,CMIG4.SA,CPFE3.SA,EZTC3.SA,QUAL3.SA,CCRO3.SA,EGIE3.SA,GOLL4.SA,SANB11.SA,SUZB3.SA,PETR3.SA,PETR4.SA,RAIZ4.SA,YDUQ3.SA,BBSE3.SA,RECV3.SA,SMTO3.SA,MULT3.SA,ECOR3.SA,BPAC11.SA,MDIA3.SA,MRVE3.SA,BHIA3.SA,BRAV3.SA,CVCB3.SA,EQTL3.SA,FLRY3.SA,TOTS3.SA,UGPA3.SA,VBBR3.SA,PSSA3.SA,GMAT3.SA,NTCO3.SA
2023-03-20,0.0164,0.0808,0.1015,0.1034,0.0065,0.0039,0.0172,0.0230,0.0228,0.0137,0.0043,0.0043,0.0152,0.0323,0.0087,0.0218,0.0125,0.1590,0.0132,0.0048,0.0018,0.0234,0.0073,0.0109,0.0071,0.2726,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0132,0.0746,0.0919,0.0931,0.0060,0.0034,0.0150,0.0197,0.0209,0.0121,0.0037,0.0036,0.0145,0.0301,0.0081,0.0193,0.0115,0.1481,0.0120,0.0040,0.0017,0.0217,0.0066,0.0098,0.0062,0.2340,0.0107,0.0123,0.0583,0.0284,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0127,0.0725,0.0872,0.0875,0.0050,0.0036,0.0149,0.0199,0.0209,0.0125,0.0035,0.0036,0.0143,0.0293,0.0079,0.0169,0.0108,0.1425,0.0101,0.0036,0.0016,0.0210,0.0063,0.0092,0.0064,0.2260,0.0100,0.0121,0.0561,0.0254,0.0048,0.0165,0.0227,0.0019,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0119,0.0731,0.0881,0.0896,0.0050,0.0029,0.0146,0.0184,0.0204,0.0124,0.0036,0.0035,0.0150,0.0283,0.0077,0.0169,0.0110,0.1460,0.0102,0.0037,0.0016,0.0226,0.0062,0.0090,0.0064,0.2198,0.0097,0.0127,0.0565,0.0251,0.0048,0.0169,0.0235,0.0020,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0121,0.0785,0.0897,0.0899,0.0045,0.0028,0.0143,0.0174,0.0211,0.0116,0.0039,0.0036,0.0150,0.0288,0.0077,0.0169,0.0108,0.1481,0.0106,0.0035,0.0016,0.0226,0.0060,0.0090,0.0065,0.2108,0.0105,0.0123,0.0576,0.0240,0.0052,0.0170,0.0230,0.0023,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0117,0.0811,0.0909,0.0909,0.0044,0.0027,0.0139,0.0174,0.0214,0.0115,0.0039,0.0035,0.0151,0.0288,0.0076,0.0169,0.0112,0.1498,0.0099,0.0036,0.0018,0.0227,0.0060,0.0093,0.0063,0.2017,0.0102,0.0116,0.0592,0.0250,0.0051,0.0177,0.0242,0.0022,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0104,0.0690,0.0802,0.0819,0.0037,0.0023,,,0.0177,0.0101,0.0036,0.0031,0.0133,0.0247,0.0066,0.0151,0.0101,0.1299,,0.0032,,0.0191,0.0052,0.0084,0.0059,0.1721,0.0079,0.0104,0.0511,0.0224,0.0044,0.0156,0.0210,0.0020,0.0007,0.0184,0.0201,0.0143,0.0827,0.0332,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,0.0108,0.0676,0.0829,0.0875,0.0039,0.0023,,,0.0177,0.0100,0.0036,0.0035,0.0130,0.0241,0.0064,0.0146,0.0101,0.1309,,0.0032,,0.0188,0.0049,0.0080,0.0059,0.1648,0.0074,0.0133,0.0511,0.0218,0.0043,0.0142,0.0199,0.0020,0.0008,0.0176,0.0211,0.0146,0.0847,0.0325,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,0.0086,0.0511,0.0625,0.0657,0.0031,0.0016,,,0.0138,0.0072,0.0027,0.0028,0.0099,0.0177,0.0047,0.0108,0.0076,0.0982,,0.0023,,0.0137,0.0036,0.0060,0.0044,0.1191,0.0055,0.0087,0.0383,0.0145,0.0034,0.0109,0.0151,,0.0007,0.0128,0.0156,0.0117,0.0651,0.0244,0.1237,0.1159,0.0150,0.0015,,,,,,,,,,,,,,,,,,,
2023-05-22,0.0102,0.0489,0.0619,0.0652,0.0032,0.0018,,,0.0136,0.0073,0.0028,0.0031,0.0097,0.0178,0.0047,0.0111,0.0073,0.0939,,,,0.0141,0.0035,0.0059,0.0044,0.1151,0.0060,0.0088,0.0370,,0.0036,0.0104,0.0145,,0.0006,0.0126,0.0148,0.0120,0.0635,0.0252,0.1225,0.1134,0.0171,0.0016,0.0238,0.0019,0.0052,,,,,,,,,,,,,,,,
