Filtro A,Filtro B,Limiar,Estrategia,Data,Jaccard
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-03-20,0.4074
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-03-27,0.3846
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-04-03,0.3857
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-04-10,0.3857
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-04-17,0.3857
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-04-24,0.3857
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-05-02,0.3478
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-05-08,0.3478
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-05-15,0.4110
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-05-22,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-05-29,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-06-05,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-06-12,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-06-19,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-06-26,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-07-03,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-07-10,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-07-17,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-07-24,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-07-31,0.4507
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-08-07,0.4366
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-08-14,0.4203
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-08-21,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-08-28,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-09-04,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-09-11,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-09-18,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-09-25,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-10-02,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-10-09,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-10-16,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-10-23,0.3971
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-10-30,0.3939
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-11-06,0.4179
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-11-13,0.5224
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-11-20,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-11-27,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-12-04,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-12-11,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-12-18,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2023-12-26,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-01-02,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-01-08,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-01-15,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-01-22,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-01-29,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-02-05,0.5571
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-02-14,0.5493
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-02-19,0.5493
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-02-26,0.5634
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-03-04,0.5556
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-03-11,0.5417
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-03-18,0.5205
Lucro Liquido Positivo,Naive,0.0%,Equal-Weight,2024-03-25,0.5278
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-03-20,0.4074
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-03-27,0.3846
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-04-03,0.3857
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-04-10,0.3857
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-04-17,0.3857
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-04-24,0.3857
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-05-02,0.3478
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-05-08,0.3478
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-05-15,0.4110
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-05-22,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-05-29,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-06-05,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-06-12,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-06-19,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-06-26,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-07-03,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-07-10,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-07-17,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-07-24,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-07-31,0.4507
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-08-07,0.4366
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-08-14,0.4203
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-08-21,0.3971
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-08-28,0.3971
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-09-04,0.3971
Lucro Liquido Positivo,Naive,0.0%,Value-Weighted,2023-09-11,0.3971
