Filtro,Limiar,Data,Markowitz,Value-Weighted
Naive,1.5%,2023-03-20,0.3684,1.0000
Naive,1.5%,2023-03-27,0.3182,1.0000
Naive,1.5%,2023-04-03,0.3333,1.0000
Naive,1.5%,2023-04-10,0.3333,1.0000
Naive,1.5%,2023-04-17,0.3750,1.0000
Naive,1.5%,2023-04-24,0.3333,1.0000
Naive,1.5%,2023-05-02,0.4286,1.0000
Naive,1.5%,2023-05-08,0.4286,1.0000
Naive,1.5%,2023-05-15,0.2609,1.0000
Naive,1.5%,2023-05-22,0.3636,1.0000
Naive,1.5%,2023-05-29,0.3636,1.0000
Naive,1.5%,2023-06-05,0.3636,1.0000
Naive,1.5%,2023-06-12,0.4545,1.0000
Naive,1.5%,2023-06-19,0.4545,1.0000
Naive,1.5%,2023-06-26,0.4545,1.0000
Naive,1.5%,2023-07-03,0.4545,1.0000
Naive,1.5%,2023-07-10,0.4545,1.0000
Naive,1.5%,2023-07-17,0.4545,1.0000
Naive,1.5%,2023-07-24,0.4545,1.0000
Naive,1.5%,2023-07-31,0.5000,1.0000
Naive,1.5%,2023-08-07,0.4762,1.0000
Naive,1.5%,2023-08-14,0.3913,1.0000
Naive,1.5%,2023-08-21,0.4167,1.0000
Naive,1.5%,2023-08-28,0.3333,1.0000
Naive,1.5%,2023-09-04,0.3750,1.0000
Naive,1.5%,2023-09-11,0.3750,1.0000
Naive,1.5%,2023-09-18,0.3333,1.0000
Naive,1.5%,2023-09-25,0.3333,1.0000
Naive,1.5%,2023-10-02,0.3750,1.0000
Naive,1.5%,2023-10-09,0.2917,1.0000
Naive,1.5%,2023-10-16,0.3333,1.0000
Naive,1.5%,2023-10-23,0.3333,1.0000
Naive,1.5%,2023-10-30,0.3333,1.0000
Naive,1.5%,2023-11-06,0.3200,1.0000
Naive,1.5%,2023-11-13,0.3448,1.0000
Naive,1.5%,2023-11-20,0.3438,1.0000
Naive,1.5%,2023-11-27,0.3125,1.0000
Naive,1.5%,2023-12-04,0.3125,1.0000
Naive,1.5%,2023-12-11,0.3125,1.0000
Naive,1.5%,2023-12-18,0.3125,1.0000
Naive,1.5%,2023-12-26,0.3125,1.0000
Naive,1.5%,2024-01-02,0.3125,1.0000
Naive,1.5%,2024-01-08,0.2812,1.0000
Naive,1.5%,2024-01-15,0.3125,1.0000
Naive,1.5%,2024-01-22,0.3125,1.0000
Naive,1.5%,2024-01-29,0.3438,1.0000
Naive,1.5%,2024-02-05,0.3125,1.0000
Naive,1.5%,2024-02-14,0.3226,1.0000
Naive,1.5%,2024-02-19,0.3871,1.0000
Naive,1.5%,2024-02-26,0.3125,1.0000
Naive,1.5%,2024-03-04,0.3125,1.0000
Naive,1.5%,2024-03-11,0.3125,1.0000
Naive,1.5%,2024-03-18,0.3333,1.0000
Naive,1.5%,2024-03-25,0.3438,1.0000
Naive,0.5%,2023-03-20,0.3333,1.0000
Naive,0.5%,2023-03-27,0.2963,1.0000
Naive,0.5%,2023-04-03,0.3103,1.0000
Naive,0.5%,2023-04-10,0.3103,1.0000
Naive,0.5%,2023-04-17,0.3103,1.0000
Naive,0.5%,2023-04-24,0.3103,1.0000
Naive,0.5%,2023-05-02,0.4000,1.0000
Naive,0.5%,2023-05-08,0.4000,1.0000
Naive,0.5%,2023-05-15,0.2069,1.0000
Naive,0.5%,2023-05-22,0.3333,1.0000
Naive,0.5%,2023-05-29,0.3333,1.0000
Naive,0.5%,2023-06-05,0.3333,1.0000
Naive,0.5%,2023-06-12,0.3667,1.0000
Naive,0.5%,2023-06-19,0.3667,1.0000
Naive,0.5%,2023-06-26,0.3667,1.0000
Naive,0.5%,2023-07-03,0.3667,1.0000
Naive,0.5%,2023-07-10,0.3667,1.0000
Naive,0.5%,2023-07-17,0.3333,1.0000
Naive,0.5%,2023-07-24,0.4000,1.0000
Naive,0.5%,2023-07-31,0.3871,1.0000
Naive,0.5%,2023-08-07,0.3704,1.0000
Naive,0.5%,2023-08-14,0.3462,1.0000
