,retorno
2023-03-20,-0.0093
2023-03-27,0.0164
2023-04-03,0.0107
2023-04-10,0.0418
2023-04-17,-0.0203
2023-04-24,-0.0069
2023-05-02,0.0513
2023-05-08,0.0310
2023-05-15,0.0317
2023-05-22,0.0057
2023-05-29,0.0221
2023-06-05,0.0424
2023-06-12,0.0150
2023-06-19,-0.0118
2023-06-26,0.0158
2023-07-03,-0.0046
2023-07-10,-0.0087
2023-07-17,0.0257
2023-07-24,0.0066
2023-07-31,-0.0068
2023-08-07,-0.0223
2023-08-14,-0.0259
2023-08-21,0.0129
2023-08-28,-0.0041
2023-09-04,-0.0107
2023-09-11,0.0112
2023-09-18,-0.0270
2023-09-25,-0.0126
2023-10-02,-0.0098
2023-10-09,0.0055
2023-10-16,-0.0296
2023-10-23,-0.0137
2023-10-30,0.0588
2023-11-06,0.0227
2023-11-13,0.0481
2023-11-20,-0.0077
2023-11-27,0.0192
2023-12-04,0.0030
2023-12-11,0.0346
2023-12-18,0.0193
2023-12-26,-0.0149
2024-01-02,0.0016
2024-01-08,-0.0070
2024-01-15,-0.0358
2024-01-22,0.0071
2024-01-29,-0.0094
2024-02-05,0.0005
2024-02-14,0.0081
2024-02-19,0.0165
2024-02-26,-0.0013
2024-03-04,-0.0036
2024-03-11,0.0052
2024-03-18,0.0044
2024-03-25,-0.0046
