,retorno
2023-03-20,-0.0050
2023-03-27,0.0192
2023-04-03,0.0063
2023-04-10,0.0431
2023-04-17,-0.0133
2023-04-24,-0.0177
2023-05-02,0.0415
2023-05-08,0.0271
2023-05-15,0.0106
2023-05-22,0.0056
2023-05-29,0.0169
2023-06-05,0.0580
2023-06-12,0.0142
2023-06-19,-0.0062
2023-06-26,0.0096
2023-07-03,-0.0185
2023-07-10,-0.0026
2023-07-17,0.0283
2023-07-24,0.0006
2023-07-31,-0.0226
2023-08-07,-0.0157
2023-08-14,-0.0147
2023-08-21,0.0223
2023-08-28,-0.0022
2023-09-04,-0.0008
2023-09-11,0.0133
2023-09-18,-0.0159
2023-09-25,-0.0071
2023-10-02,0.0068
2023-10-09,0.0149
2023-10-16,-0.0297
2023-10-23,-0.0052
2023-10-30,0.0457
2023-11-06,0.0151
2023-11-13,0.0384
2023-11-20,0.0006
2023-11-27,0.0101
2023-12-04,0.0019
2023-12-11,0.0353
2023-12-18,0.0212
2023-12-26,-0.0035
2024-01-02,-0.0007
2024-01-08,-0.0072
2024-01-15,-0.0327
2024-01-22,0.0183
2024-01-29,0.0001
2024-02-05,-0.0064
2024-02-14,0.0161
2024-02-19,0.0054
2024-02-26,-0.0198
2024-03-04,-0.0219
2024-03-11,0.0043
2024-03-18,-0.0015
2024-03-25,0.0033
