,retorno
2023-03-20,-0.0090
2023-03-27,0.0157
2023-04-03,0.0118
2023-04-10,0.0377
2023-04-17,-0.0227
2023-04-24,-0.0051
2023-05-02,0.0468
2023-05-08,0.0278
2023-05-15,0.0326
2023-05-22,0.0047
2023-05-29,0.0213
2023-06-05,0.0405
2023-06-12,0.0186
2023-06-19,-0.0111
2023-06-26,0.0162
2023-07-03,-0.0029
2023-07-10,-0.0056
2023-07-17,0.0283
2023-07-24,0.0057
2023-07-31,-0.0042
2023-08-07,-0.0187
2023-08-14,-0.0274
2023-08-21,0.0137
2023-08-28,-0.0051
2023-09-04,-0.0105
2023-09-11,0.0105
2023-09-18,-0.0255
2023-09-25,-0.0111
2023-10-02,-0.0097
2023-10-09,0.0053
2023-10-16,-0.0299
2023-10-23,-0.0136
2023-10-30,0.0594
2023-11-06,0.0234
2023-11-13,0.0482
2023-11-20,-0.0051
2023-11-27,0.0199
2023-12-04,0.0047
2023-12-11,0.0346
2023-12-18,0.0158
2023-12-26,-0.0121
2024-01-02,0.0006
2024-01-08,-0.0067
2024-01-15,-0.0331
2024-01-22,0.0067
2024-01-29,-0.0067
2024-02-05,-0.0034
2024-02-14,0.0073
2024-02-19,0.0174
2024-02-26,-0.0011
2024-03-04,-0.0044
2024-03-11,0.0049
2024-03-18,0.0035
2024-03-25,-0.0035
