,retorno
2023-03-20,-0.0082
2023-03-27,0.0234
2023-04-03,0.0080
2023-04-10,0.0423
2023-04-17,-0.0174
2023-04-24,-0.0207
2023-05-02,0.0484
2023-05-08,0.0233
2023-05-15,0.0066
2023-05-22,0.0101
2023-05-29,0.0174
2023-06-05,0.0621
2023-06-12,0.0185
2023-06-19,-0.0050
2023-06-26,0.0068
2023-07-03,-0.0189
2023-07-10,-0.0000
2023-07-17,0.0203
2023-07-24,0.0043
2023-07-31,-0.0248
2023-08-07,-0.0116
2023-08-14,-0.0107
2023-08-21,0.0238
2023-08-28,-0.0024
2023-09-04,0.0014
2023-09-11,0.0136
2023-09-18,-0.0163
2023-09-25,-0.0065
2023-10-02,0.0097
2023-10-09,0.0170
2023-10-16,-0.0309
2023-10-23,-0.0008
2023-10-30,0.0463
2023-11-06,0.0149
2023-11-13,0.0382
2023-11-20,-0.0003
2023-11-27,0.0106
2023-12-04,0.0025
2023-12-11,0.0336
2023-12-18,0.0214
2023-12-26,-0.0014
2024-01-02,-0.0011
2024-01-08,-0.0047
2024-01-15,-0.0308
2024-01-22,0.0201
2024-01-29,0.0015
2024-02-05,-0.0091
2024-02-14,0.0195
2024-02-19,0.0008
2024-02-26,-0.0217
2024-03-04,-0.0246
2024-03-11,0.0024
2024-03-18,-0.0037
2024-03-25,0.0057
