,retorno
2023-03-20,0.0023
2023-03-27,0.0056
2023-04-03,0.0258
2023-04-10,0.0176
2023-04-17,-0.0046
2023-04-24,-0.0126
2023-05-02,0.0365
2023-05-08,0.0090
2023-05-15,-0.0096
2023-05-22,0.0123
2023-05-29,-0.0012
2023-06-05,0.0242
2023-06-12,0.0117
2023-06-19,-0.0058
2023-06-26,0.0108
2023-07-03,-0.0017
2023-07-10,0.0017
2023-07-17,0.0203
2023-07-24,0.0048
2023-07-31,0.0086
2023-08-07,-0.0140
2023-08-14,-0.0115
2023-08-21,0.0128
2023-08-28,0.0088
2023-09-04,-0.0090
2023-09-11,0.0168
2023-09-18,0.0084
2023-09-25,-0.0213
2023-10-02,0.0051
2023-10-09,-0.0012
2023-10-16,-0.0247
2023-10-23,-0.0275
2023-10-30,0.0466
2023-11-06,0.0069
2023-11-13,0.0361
2023-11-20,-0.0015
2023-11-27,0.0202
2023-12-04,0.0003
2023-12-11,0.0208
2023-12-18,0.0228
2023-12-26,-0.0055
2024-01-02,-0.0120
2024-01-08,-0.0150
2024-01-15,-0.0277
2024-01-22,0.0047
2024-01-29,-0.0070
2024-02-05,-0.0103
2024-02-14,0.0137
2024-02-19,0.0004
2024-02-26,-0.0058
2024-03-04,0.0035
2024-03-11,0.0097
2024-03-18,-0.0021
2024-03-25,0.0161
