,retorno
2023-03-20,-0.0018
2023-03-27,0.0117
2023-04-03,-0.0003
2023-04-10,0.0362
2023-04-17,-0.0234
2023-04-24,-0.0141
2023-05-02,0.0391
2023-05-08,0.0236
2023-05-15,0.0228
2023-05-22,0.0142
2023-05-29,0.0100
2023-06-05,0.0379
2023-06-12,0.0120
2023-06-19,-0.0071
2023-06-26,0.0229
2023-07-03,-0.0051
2023-07-10,-0.0042
2023-07-17,0.0331
2023-07-24,0.0049
2023-07-31,-0.0032
2023-08-07,-0.0187
2023-08-14,-0.0283
2023-08-21,0.0143
2023-08-28,-0.0092
2023-09-04,-0.0050
2023-09-11,0.0127
2023-09-18,-0.0216
2023-09-25,-0.0085
2023-10-02,-0.0046
2023-10-09,0.0067
2023-10-16,-0.0194
2023-10-23,-0.0265
2023-10-30,0.0549
2023-11-06,0.0171
2023-11-13,0.0386
2023-11-20,-0.0117
2023-11-27,0.0200
2023-12-04,0.0070
2023-12-11,0.0295
2023-12-18,0.0159
2023-12-26,-0.0123
2024-01-02,0.0033
2024-01-08,-0.0010
2024-01-15,-0.0340
2024-01-22,0.0058
2024-01-29,-0.0036
2024-02-05,0.0043
2024-02-14,0.0058
2024-02-19,0.0136
2024-02-26,-0.0046
2024-03-04,0.0035
2024-03-11,0.0019
2024-03-18,0.0034
2024-03-25,-0.0085
