,retorno
2023-03-20,0.0077
2023-03-27,0.0228
2023-04-03,0.0041
2023-04-10,0.0518
2023-04-17,-0.0049
2023-04-24,-0.0239
2023-05-02,0.0391
2023-05-08,0.0288
2023-05-15,0.0025
2023-05-22,0.0084
2023-05-29,-0.0007
2023-06-05,0.0333
2023-06-12,0.0137
2023-06-19,-0.0025
2023-06-26,0.0193
2023-07-03,-0.0122
2023-07-10,-0.0059
2023-07-17,0.0321
2023-07-24,-0.0043
2023-07-31,-0.0079
2023-08-07,-0.0164
2023-08-14,-0.0357
2023-08-21,0.0280
2023-08-28,-0.0133
2023-09-04,-0.0039
2023-09-11,0.0185
2023-09-18,-0.0103
2023-09-25,-0.0071
2023-10-02,0.0041
2023-10-09,0.0067
2023-10-16,-0.0206
2023-10-23,-0.0194
2023-10-30,0.0516
2023-11-06,0.0153
2023-11-13,0.0329
2023-11-20,-0.0004
2023-11-27,0.0195
2023-12-04,0.0071
2023-12-11,0.0284
2023-12-18,0.0184
2023-12-26,-0.0082
2024-01-02,-0.0002
2024-01-08,0.0019
2024-01-15,-0.0334
2024-01-22,0.0017
2024-01-29,0.0029
2024-02-05,0.0089
2024-02-14,0.0043
2024-02-19,0.0147
2024-02-26,-0.0118
2024-03-04,0.0036
2024-03-11,0.0009
2024-03-18,-0.0036
2024-03-25,-0.0086
