,retorno
2023-03-20,-0.0033
2023-03-27,0.0132
2023-04-03,0.0002
2023-04-10,0.0383
2023-04-17,-0.0256
2023-04-24,-0.0164
2023-05-02,0.0422
2023-05-08,0.0221
2023-05-15,0.0211
2023-05-22,0.0145
2023-05-29,0.0102
2023-06-05,0.0374
2023-06-12,0.0133
2023-06-19,-0.0044
2023-06-26,0.0211
2023-07-03,-0.0005
2023-07-10,-0.0008
2023-07-17,0.0339
2023-07-24,0.0057
2023-07-31,-0.0005
2023-08-07,-0.0204
2023-08-14,-0.0316
2023-08-21,0.0148
2023-08-28,-0.0108
2023-09-04,-0.0046
2023-09-11,0.0109
2023-09-18,-0.0261
2023-09-25,-0.0073
2023-10-02,-0.0067
2023-10-09,0.0072
2023-10-16,-0.0179
2023-10-23,-0.0262
2023-10-30,0.0551
2023-11-06,0.0180
2023-11-13,0.0366
2023-11-20,-0.0156
2023-11-27,0.0212
2023-12-04,0.0085
2023-12-11,0.0332
2023-12-18,0.0157
2023-12-26,-0.0150
2024-01-02,0.0058
2024-01-08,-0.0032
2024-01-15,-0.0341
2024-01-22,0.0092
2024-01-29,-0.0037
2024-02-05,-0.0002
2024-02-14,0.0080
2024-02-19,0.0080
2024-02-26,-0.0051
2024-03-04,0.0042
2024-03-11,0.0016
2024-03-18,-0.0004
2024-03-25,-0.0083
