,retorno
2023-03-20,-0.0021
2023-03-27,-0.0036
2023-04-03,0.0087
2023-04-10,0.0276
2023-04-17,-0.0042
2023-04-24,-0.0145
2023-05-02,0.0646
2023-05-08,0.0254
2023-05-15,-0.0083
2023-05-22,0.0040
2023-05-29,-0.0100
2023-06-05,0.0162
2023-06-12,0.0109
2023-06-19,-0.0042
2023-06-26,0.0078
2023-07-03,-0.0070
2023-07-10,-0.0054
2023-07-17,0.0160
2023-07-24,0.0079
2023-07-31,0.0082
2023-08-07,-0.0247
2023-08-14,-0.0096
2023-08-21,0.0119
2023-08-28,0.0041
2023-09-04,0.0013
2023-09-11,0.0171
2023-09-18,-0.0010
2023-09-25,-0.0223
2023-10-02,0.0078
2023-10-09,0.0020
2023-10-16,-0.0134
2023-10-23,-0.0256
2023-10-30,0.0438
2023-11-06,0.0252
2023-11-13,0.0233
2023-11-20,-0.0014
2023-11-27,0.0176
2023-12-04,0.0060
2023-12-11,0.0099
2023-12-18,0.0135
2023-12-26,-0.0108
2024-01-02,-0.0156
2024-01-08,-0.0092
2024-01-15,-0.0130
2024-01-22,0.0014
2024-01-29,0.0060
2024-02-05,-0.0034
2024-02-14,0.0045
2024-02-19,0.0109
2024-02-26,-0.0071
2024-03-04,0.0034
2024-03-11,0.0009
2024-03-18,-0.0196
2024-03-25,0.0038
