,retorno
2023-03-20,0.0089
2023-03-27,0.0323
2023-04-03,0.0081
2023-04-10,0.0629
2023-04-17,-0.0043
2023-04-24,-0.0359
2023-05-02,0.0562
2023-05-08,0.0343
2023-05-15,-0.0068
2023-05-22,0.0154
2023-05-29,0.0023
2023-06-05,0.0326
2023-06-12,0.0325
2023-06-19,-0.0010
2023-06-26,0.0123
2023-07-03,-0.0017
2023-07-10,-0.0039
2023-07-17,0.0119
2023-07-24,0.0043
2023-07-31,-0.0138
2023-08-07,-0.0125
2023-08-14,-0.0236
2023-08-21,0.0276
2023-08-28,-0.0123
2023-09-04,-0.0000
2023-09-11,0.0168
2023-09-18,-0.0232
2023-09-25,-0.0121
2023-10-02,0.0107
2023-10-09,0.0087
2023-10-16,-0.0151
2023-10-23,-0.0171
2023-10-30,0.0510
2023-11-06,0.0133
2023-11-13,0.0279
2023-11-20,-0.0067
2023-11-27,0.0238
2023-12-04,0.0063
2023-12-11,0.0296
2023-12-18,0.0205
2023-12-26,-0.0063
2024-01-02,0.0055
2024-01-08,0.0004
2024-01-15,-0.0315
2024-01-22,0.0039
2024-01-29,0.0028
2024-02-05,0.0024
2024-02-14,0.0099
2024-02-19,0.0047
2024-02-26,-0.0178
2024-03-04,0.0027
2024-03-11,0.0042
2024-03-18,-0.0090
2024-03-25,-0.0073
