,retorno
2023-03-20,-0.0145
2023-03-27,0.0151
2023-04-03,0.0057
2023-04-10,0.0431
2023-04-17,-0.0241
2023-04-24,-0.0071
2023-05-02,0.0616
2023-05-08,0.0362
2023-05-15,0.0331
2023-05-22,0.0043
2023-05-29,0.0229
2023-06-05,0.0443
2023-06-12,0.0128
2023-06-19,-0.0123
2023-06-26,0.0135
2023-07-03,-0.0041
2023-07-10,-0.0121
2023-07-17,0.0248
2023-07-24,0.0098
2023-07-31,-0.0088
2023-08-07,-0.0245
2023-08-14,-0.0291
2023-08-21,0.0063
2023-08-28,0.0003
2023-09-04,-0.0161
2023-09-11,0.0052
2023-09-18,-0.0316
2023-09-25,-0.0128
2023-10-02,-0.0131
2023-10-09,0.0060
2023-10-16,-0.0273
2023-10-23,-0.0203
2023-10-30,0.0627
2023-11-06,0.0234
2023-11-13,0.0545
2023-11-20,-0.0118
2023-11-27,0.0148
2023-12-04,0.0106
2023-12-11,0.0337
2023-12-18,0.0262
2023-12-26,-0.0185
2024-01-02,0.0027
2024-01-08,-0.0109
2024-01-15,-0.0433
2024-01-22,0.0058
2024-01-29,-0.0149
2024-02-05,0.0003
2024-02-14,0.0134
2024-02-19,0.0166
2024-02-26,0.0048
2024-03-04,-0.0048
2024-03-11,0.0017
2024-03-18,0.0046
2024-03-25,-0.0003
