,retorno
2023-03-20,0.0014
2023-03-27,-0.0105
2023-04-03,0.0039
2023-04-10,0.0321
2023-04-17,-0.0029
2023-04-24,-0.0021
2023-05-02,0.0388
2023-05-08,0.0229
2023-05-15,-0.0037
2023-05-22,0.0096
2023-05-29,-0.0037
2023-06-05,0.0264
2023-06-12,0.0015
2023-06-19,-0.0090
2023-06-26,0.0068
2023-07-03,-0.0066
2023-07-10,-0.0014
2023-07-17,0.0152
2023-07-24,0.0070
2023-07-31,0.0241
2023-08-07,-0.0222
2023-08-14,-0.0169
2023-08-21,0.0084
2023-08-28,0.0049
2023-09-04,-0.0085
2023-09-11,0.0116
2023-09-18,-0.0009
2023-09-25,-0.0082
2023-10-02,-0.0016
2023-10-09,-0.0013
2023-10-16,-0.0249
2023-10-23,-0.0222
2023-10-30,0.0421
2023-11-06,0.0135
2023-11-13,0.0152
2023-11-20,-0.0010
2023-11-27,-0.0006
2023-12-04,0.0049
2023-12-11,0.0254
2023-12-18,0.0224
2023-12-26,-0.0035
2024-01-02,-0.0064
2024-01-08,-0.0030
2024-01-15,-0.0185
2024-01-22,-0.0025
2024-01-29,0.0013
2024-02-05,-0.0090
2024-02-14,0.0039
2024-02-19,0.0171
2024-02-26,0.0016
2024-03-04,0.0039
2024-03-11,0.0095
2024-03-18,0.0003
2024-03-25,0.0164
