,retorno
2023-03-20,-0.0109
2023-03-27,0.0114
2023-04-03,0.0052
2023-04-10,0.0385
2023-04-17,-0.0208
2023-04-24,-0.0110
2023-05-02,0.0407
2023-05-08,0.0261
2023-05-15,0.0110
2023-05-22,0.0050
2023-05-29,0.0183
2023-06-05,0.0579
2023-06-12,0.0142
2023-06-19,-0.0064
2023-06-26,0.0096
2023-07-03,-0.0179
2023-07-10,-0.0035
2023-07-17,0.0287
2023-07-24,0.0018
2023-07-31,-0.0232
2023-08-07,-0.0172
2023-08-14,-0.0130
2023-08-21,0.0179
2023-08-28,0.0005
2023-09-04,-0.0026
2023-09-11,0.0114
2023-09-18,-0.0189
2023-09-25,-0.0081
2023-10-02,0.0061
2023-10-09,0.0153
2023-10-16,-0.0294
2023-10-23,-0.0071
2023-10-30,0.0451
2023-11-06,0.0156
2023-11-13,0.0400
2023-11-20,0.0004
2023-11-27,0.0085
2023-12-04,0.0024
2023-12-11,0.0357
2023-12-18,0.0232
2023-12-26,-0.0041
2024-01-02,-0.0004
2024-01-08,-0.0085
2024-01-15,-0.0335
2024-01-22,0.0184
2024-01-29,-0.0000
2024-02-05,-0.0067
2024-02-14,0.0166
2024-02-19,0.0059
2024-02-26,-0.0185
2024-03-04,-0.0216
2024-03-11,0.0040
2024-03-18,0.0000
2024-03-25,0.0035
