,retorno
2023-03-20,-0.0160
2023-03-27,0.0140
2023-04-03,0.0050
2023-04-10,0.0410
2023-04-17,-0.0266
2023-04-24,-0.0051
2023-05-02,0.0560
2023-05-08,0.0341
2023-05-15,0.0315
2023-05-22,0.0048
2023-05-29,0.0217
2023-06-05,0.0456
2023-06-12,0.0130
2023-06-19,-0.0082
2023-06-26,0.0141
2023-07-03,-0.0035
2023-07-10,-0.0117
2023-07-17,0.0241
2023-07-24,0.0083
2023-07-31,-0.0078
2023-08-07,-0.0220
2023-08-14,-0.0285
2023-08-21,0.0064
2023-08-28,0.0007
2023-09-04,-0.0147
2023-09-11,0.0061
2023-09-18,-0.0304
2023-09-25,-0.0124
2023-10-02,-0.0127
2023-10-09,0.0069
2023-10-16,-0.0297
2023-10-23,-0.0200
2023-10-30,0.0623
2023-11-06,0.0224
2023-11-13,0.0548
2023-11-20,-0.0098
2023-11-27,0.0179
2023-12-04,0.0139
2023-12-11,0.0325
2023-12-18,0.0220
2023-12-26,-0.0158
2024-01-02,0.0008
2024-01-08,-0.0093
2024-01-15,-0.0404
2024-01-22,0.0038
2024-01-29,-0.0121
2024-02-05,-0.0034
2024-02-14,0.0131
2024-02-19,0.0154
2024-02-26,0.0042
2024-03-04,-0.0068
2024-03-11,-0.0006
2024-03-18,-0.0009
2024-03-25,-0.0036
