,retorno
2023-03-20,-0.0115
2023-03-27,0.0102
2023-04-03,0.0048
2023-04-10,0.0377
2023-04-17,-0.0232
2023-04-24,-0.0096
2023-05-02,0.0389
2023-05-08,0.0255
2023-05-15,0.0090
2023-05-22,0.0054
2023-05-29,0.0166
2023-06-05,0.0592
2023-06-12,0.0144
2023-06-19,-0.0056
2023-06-26,0.0094
2023-07-03,-0.0175
2023-07-10,-0.0044
2023-07-17,0.0268
2023-07-24,0.0021
2023-07-31,-0.0233
2023-08-07,-0.0150
2023-08-14,-0.0123
2023-08-21,0.0188
2023-08-28,0.0005
2023-09-04,-0.0021
2023-09-11,0.0118
2023-09-18,-0.0177
2023-09-25,-0.0069
2023-10-02,0.0070
2023-10-09,0.0161
2023-10-16,-0.0309
2023-10-23,-0.0056
2023-10-30,0.0444
2023-11-06,0.0156
2023-11-13,0.0396
2023-11-20,0.0011
2023-11-27,0.0094
2023-12-04,0.0033
2023-12-11,0.0341
2023-12-18,0.0220
2023-12-26,-0.0033
2024-01-02,-0.0012
2024-01-08,-0.0078
2024-01-15,-0.0321
2024-01-22,0.0179
2024-01-29,0.0009
2024-02-05,-0.0070
2024-02-14,0.0172
2024-02-19,0.0058
2024-02-26,-0.0189
2024-03-04,-0.0229
2024-03-11,0.0033
2024-03-18,-0.0021
2024-03-25,0.0045
