,retorno
2023-03-20,-0.0035
2023-03-27,-0.0076
2023-04-03,0.0099
2023-04-10,0.0436
2023-04-17,-0.0041
2023-04-24,0.0013
2023-05-02,0.0293
2023-05-08,0.0248
2023-05-15,-0.0032
2023-05-22,0.0097
2023-05-29,-0.0041
2023-06-05,0.0293
2023-06-12,0.0078
2023-06-19,-0.0108
2023-06-26,0.0087
2023-07-03,-0.0059
2023-07-10,-0.0041
2023-07-17,0.0179
2023-07-24,0.0055
2023-07-31,0.0157
2023-08-07,-0.0209
2023-08-14,-0.0169
2023-08-21,0.0082
2023-08-28,0.0036
2023-09-04,-0.0066
2023-09-11,0.0116
2023-09-18,-0.0006
2023-09-25,-0.0078
2023-10-02,-0.0013
2023-10-09,-0.0018
2023-10-16,-0.0255
2023-10-23,-0.0211
2023-10-30,0.0420
2023-11-06,0.0132
2023-11-13,0.0139
2023-11-20,-0.0014
2023-11-27,-0.0033
2023-12-04,0.0045
2023-12-11,0.0270
2023-12-18,0.0240
2023-12-26,-0.0032
2024-01-02,-0.0062
2024-01-08,-0.0030
2024-01-15,-0.0186
2024-01-22,-0.0026
2024-01-29,0.0013
2024-02-05,-0.0090
2024-02-14,0.0039
2024-02-19,0.0170
2024-02-26,0.0010
2024-03-04,0.0040
2024-03-11,0.0078
2024-03-18,-0.0039
2024-03-25,0.0192
