,turnover
2023-03-20,0.0000
2023-03-27,0.1018
2023-04-03,0.2486
2023-04-10,0.0966
2023-04-17,0.1322
2023-04-24,0.0849
2023-05-02,0.1432
2023-05-08,0.0908
2023-05-15,0.1392
2023-05-22,0.1648
2023-05-29,0.0728
2023-06-05,0.1590
2023-06-12,0.4677
2023-06-19,0.0539
2023-06-26,0.0509
2023-07-03,0.0422
2023-07-10,0.0242
2023-07-17,0.0622
2023-07-24,0.0291
2023-07-31,0.0537
2023-08-07,0.0798
2023-08-14,0.0822
2023-08-21,0.0998
2023-08-28,0.0280
2023-09-04,0.0172
2023-09-11,0.0968
2023-09-18,0.1059
2023-09-25,0.0378
2023-10-02,0.0942
2023-10-09,0.0772
2023-10-16,0.0394
2023-10-23,0.0968
2023-10-30,0.3773
2023-11-06,0.1788
2023-11-13,0.1445
2023-11-20,0.1417
2023-11-27,0.0477
2023-12-04,0.0532
2023-12-11,0.0887
2023-12-18,0.1329
2023-12-26,0.0518
2024-01-02,0.0137
2024-01-08,0.2442
2024-01-15,0.1045
2024-01-22,0.1371
2024-01-29,0.1507
2024-02-05,0.1176
2024-02-14,0.0463
2024-02-19,0.0612
2024-02-26,0.0384
2024-03-04,0.5892
2024-03-11,0.0240
2024-03-18,0.1292
2024-03-25,0.0316
