,turnover
2023-03-20,0.0000
2023-03-27,0.1480
2023-04-03,0.0834
2023-04-10,0.0208
2023-04-17,0.0292
2023-04-24,0.0250
2023-05-02,0.0833
2023-05-08,0.0357
2023-05-15,0.0705
2023-05-22,0.0256
2023-05-29,0.0224
2023-06-05,0.0222
2023-06-12,0.0500
2023-06-19,0.0232
2023-06-26,0.0227
2023-07-03,0.0208
2023-07-10,0.0149
2023-07-17,0.0220
2023-07-24,0.0253
2023-07-31,0.0192
2023-08-07,0.0275
2023-08-14,0.0254
2023-08-21,0.0368
2023-08-28,0.0176
2023-09-04,0.0216
2023-09-11,0.0198
2023-09-18,0.0151
2023-09-25,0.0204
2023-10-02,0.0126
2023-10-09,0.0207
2023-10-16,0.0200
2023-10-23,0.0143
2023-10-30,0.0289
2023-11-06,0.0282
2023-11-13,0.0406
2023-11-20,0.0809
2023-11-27,0.0187
2023-12-04,0.0208
2023-12-11,0.0114
2023-12-18,0.0180
2023-12-26,0.0193
2024-01-02,0.0099
2024-01-08,0.0144
2024-01-15,0.0258
2024-01-22,0.0181
2024-01-29,0.0281
2024-02-05,0.0183
2024-02-14,0.0278
2024-02-19,0.0215
2024-02-26,0.0195
2024-03-04,0.0460
2024-03-11,0.0418
2024-03-18,0.0271
2024-03-25,0.0184
