,turnover
2023-03-20,0.0000
2023-03-27,0.1408
2023-04-03,0.0839
2023-04-10,0.0222
2023-04-17,0.0293
2023-04-24,0.0250
2023-05-02,0.0883
2023-05-08,0.0359
2023-05-15,0.0719
2023-05-22,0.0525
2023-05-29,0.0316
2023-06-05,0.0208
2023-06-12,0.0494
2023-06-19,0.0235
2023-06-26,0.0240
2023-07-03,0.0217
2023-07-10,0.0149
2023-07-17,0.0217
2023-07-24,0.0247
2023-07-31,0.0200
2023-08-07,0.0345
2023-08-14,0.1213
2023-08-21,0.0409
2023-08-28,0.0171
2023-09-04,0.0222
2023-09-11,0.0444
2023-09-18,0.0243
2023-09-25,0.0386
2023-10-02,0.0125
2023-10-09,0.0206
2023-10-16,0.0202
2023-10-23,0.0142
2023-10-30,0.0336
2023-11-06,0.0286
2023-11-13,0.0557
2023-11-20,0.0676
2023-11-27,0.0185
2023-12-04,0.0202
2023-12-11,0.0111
2023-12-18,0.0172
2023-12-26,0.0224
2024-01-02,0.0309
2024-01-08,0.0144
2024-01-15,0.0258
2024-01-22,0.0175
2024-01-29,0.0281
2024-02-05,0.0183
2024-02-14,0.0466
2024-02-19,0.0214
2024-02-26,0.0279
2024-03-04,0.0606
2024-03-11,0.0423
2024-03-18,0.0221
2024-03-25,0.0218
