,turnover
2023-03-20,0.0000
2023-03-27,0.5447
2023-04-03,0.2128
2023-04-10,0.0677
2023-04-17,0.1300
2023-04-24,0.0801
2023-05-02,0.0981
2023-05-08,0.1465
2023-05-15,0.4383
2023-05-22,0.1262
2023-05-29,0.0257
2023-06-05,0.0589
2023-06-12,0.0747
2023-06-19,0.0503
2023-06-26,0.0607
2023-07-03,0.0393
2023-07-10,0.0411
2023-07-17,0.1400
2023-07-24,0.0240
2023-07-31,0.0578
2023-08-07,0.1783
2023-08-14,0.1208
2023-08-21,0.1841
2023-08-28,0.0424
2023-09-04,0.0882
2023-09-11,0.0882
2023-09-18,0.1957
2023-09-25,0.0235
2023-10-02,0.0836
2023-10-09,0.1357
2023-10-16,0.1194
2023-10-23,0.2667
2023-10-30,0.3585
2023-11-06,0.0916
2023-11-13,0.1732
2023-11-20,0.2126
2023-11-27,0.0992
2023-12-04,0.0542
2023-12-11,0.0182
2023-12-18,0.1382
2023-12-26,0.0480
2024-01-02,0.0352
2024-01-08,0.1468
2024-01-15,0.1586
2024-01-22,0.1338
2024-01-29,0.1011
2024-02-05,0.1041
2024-02-14,0.0990
2024-02-19,0.0562
2024-02-26,0.1784
2024-03-04,0.7431
2024-03-11,0.0251
2024-03-18,0.1836
2024-03-25,0.0516
