,turnover
2023-03-20,0.0000
2023-03-27,0.4848
2023-04-03,0.0909
2023-04-10,0.1667
2023-04-17,0.0541
2023-04-24,0.0000
2023-05-02,0.1081
2023-05-08,0.0000
2023-05-15,0.2733
2023-05-22,0.1282
2023-05-29,0.0000
2023-06-05,0.0286
2023-06-12,0.0000
2023-06-19,0.0000
2023-06-26,0.0000
2023-07-03,0.0000
2023-07-10,0.0000
2023-07-17,0.0294
2023-07-24,0.0303
2023-07-31,0.0625
2023-08-07,0.1000
2023-08-14,0.2512
2023-08-21,0.0645
2023-08-28,0.0645
2023-09-04,0.1818
2023-09-11,0.0588
2023-09-18,0.0882
2023-09-25,0.1496
2023-10-02,0.0606
2023-10-09,0.1765
2023-10-16,0.1176
2023-10-23,0.3556
2023-10-30,0.1389
2023-11-06,0.0588
2023-11-13,0.3439
2023-11-20,0.1538
2023-11-27,0.0000
2023-12-04,0.0000
2023-12-11,0.0278
2023-12-18,0.0833
2023-12-26,0.0873
2024-01-02,0.1622
2024-01-08,0.0000
2024-01-15,0.0270
2024-01-22,0.0541
2024-01-29,0.1081
2024-02-05,0.1111
2024-02-14,0.0833
2024-02-19,0.0000
2024-02-26,0.0286
2024-03-04,0.1126
2024-03-11,0.1095
2024-03-18,0.1111
2024-03-25,0.0303
