,turnover
2023-03-20,0.0000
2023-03-27,0.1455
2023-04-03,0.4197
2023-04-10,0.1324
2023-04-17,0.1167
2023-04-24,0.0715
2023-05-02,0.1722
2023-05-08,0.1321
2023-05-15,0.3334
2023-05-22,0.7263
2023-05-29,0.1645
2023-06-05,0.1965
2023-06-12,0.8811
2023-06-19,0.0528
2023-06-26,0.0357
2023-07-03,0.0690
2023-07-10,0.0427
2023-07-17,0.0821
2023-07-24,0.0208
2023-07-31,0.1234
2023-08-07,0.6121
2023-08-14,0.1055
2023-08-21,0.1866
2023-08-28,0.0731
2023-09-04,0.0920
2023-09-11,0.0472
2023-09-18,0.2391
2023-09-25,0.0185
2023-10-02,0.1115
2023-10-09,0.2270
2023-10-16,0.1681
2023-10-23,0.1129
2023-10-30,0.4615
2023-11-06,0.0452
2023-11-13,0.3154
2023-11-20,0.3463
2023-11-27,0.1370
2023-12-04,0.0912
2023-12-11,0.0218
2023-12-18,0.0853
2023-12-26,0.0307
2024-01-02,0.0247
2024-01-08,0.1286
2024-01-15,0.0780
2024-01-22,0.0912
2024-01-29,0.1037
2024-02-05,0.0319
2024-02-14,0.0131
2024-02-19,0.0336
2024-02-26,0.2627
2024-03-04,0.0272
2024-03-11,0.3244
2024-03-18,0.1905
2024-03-25,0.2861
