,turnover
2023-03-20,0.0000
2023-03-27,0.1096
2023-04-03,0.0675
2023-04-10,0.0161
2023-04-17,0.0267
2023-04-24,0.0198
2023-05-02,0.0967
2023-05-08,0.0304
2023-05-15,0.3115
2023-05-22,0.1502
2023-05-29,0.0196
2023-06-05,0.0267
2023-06-12,0.0267
2023-06-19,0.0243
2023-06-26,0.0212
2023-07-03,0.0197
2023-07-10,0.0160
2023-07-17,0.0177
2023-07-24,0.0379
2023-07-31,0.0402
2023-08-07,0.1798
2023-08-14,0.2200
2023-08-21,0.1202
2023-08-28,0.0205
2023-09-04,0.0122
2023-09-11,0.0137
2023-09-18,0.0148
2023-09-25,0.0195
2023-10-02,0.0154
2023-10-09,0.0239
2023-10-16,0.0115
2023-10-23,0.0118
2023-10-30,0.0505
2023-11-06,0.3036
2023-11-13,0.2333
2023-11-20,0.1442
2023-11-27,0.0196
2023-12-04,0.0213
2023-12-11,0.0121
2023-12-18,0.0177
2023-12-26,0.0165
2024-01-02,0.0102
2024-01-08,0.0138
2024-01-15,0.0222
2024-01-22,0.0201
2024-01-29,0.0129
2024-02-05,0.0189
2024-02-14,0.0429
2024-02-19,0.0142
2024-02-26,0.0554
2024-03-04,0.0352
2024-03-11,0.0213
2024-03-18,0.0390
2024-03-25,0.0656
