,turnover
2023-03-20,0.0000
2023-03-27,0.1292
2023-04-03,0.0753
2023-04-10,0.0126
2023-04-17,0.0269
2023-04-24,0.0190
2023-05-02,0.1374
2023-05-08,0.0219
2023-05-15,0.3726
2023-05-22,0.1880
2023-05-29,0.0147
2023-06-05,0.0230
2023-06-12,0.0265
2023-06-19,0.0252
2023-06-26,0.0195
2023-07-03,0.0191
2023-07-10,0.0155
2023-07-17,0.0173
2023-07-24,0.2520
2023-07-31,0.0431
2023-08-07,0.1961
2023-08-14,0.3486
2023-08-21,0.1366
2023-08-28,0.0204
2023-09-04,0.0115
2023-09-11,0.0137
2023-09-18,0.0138
2023-09-25,0.0160
2023-10-02,0.0152
2023-10-09,0.0229
2023-10-16,0.0117
2023-10-23,0.0111
2023-10-30,0.1135
2023-11-06,0.2850
2023-11-13,0.1857
2023-11-20,0.1553
2023-11-27,0.0209
2023-12-04,0.0191
2023-12-11,0.0133
2023-12-18,0.0189
2023-12-26,0.0196
2024-01-02,0.0114
2024-01-08,0.0147
2024-01-15,0.0149
2024-01-22,0.0191
2024-01-29,0.0140
2024-02-05,0.0198
2024-02-14,0.0493
2024-02-19,0.0154
2024-02-26,0.0435
2024-03-04,0.0417
2024-03-11,0.0403
2024-03-18,0.1922
2024-03-25,0.0629
