,turnover
2023-03-20,0.0000
2023-03-27,0.1155
2023-04-03,0.5289
2023-04-10,0.0924
2023-04-17,0.1189
2023-04-24,0.0705
2023-05-02,0.2516
2023-05-08,0.0986
2023-05-15,0.3476
2023-05-22,0.4240
2023-05-29,0.1392
2023-06-05,0.1902
2023-06-12,0.9344
2023-06-19,0.0437
2023-06-26,0.0792
2023-07-03,0.0735
2023-07-10,0.0166
2023-07-17,0.0345
2023-07-24,0.0103
2023-07-31,0.0996
2023-08-07,0.3165
2023-08-14,0.2058
2023-08-21,0.3045
2023-08-28,0.0557
2023-09-04,0.0218
2023-09-11,0.0458
2023-09-18,0.1277
2023-09-25,0.0377
2023-10-02,0.1391
2023-10-09,0.2770
2023-10-16,0.1680
2023-10-23,0.1243
2023-10-30,0.1358
2023-11-06,0.1568
2023-11-13,0.2124
2023-11-20,0.4107
2023-11-27,0.0804
2023-12-04,0.0941
2023-12-11,0.0112
2023-12-18,0.0178
2023-12-26,0.0292
2024-01-02,0.0181
2024-01-08,0.1102
2024-01-15,0.0747
2024-01-22,0.0991
2024-01-29,0.1381
2024-02-05,0.0360
2024-02-14,0.0535
2024-02-19,0.0417
2024-02-26,0.3523
2024-03-04,0.1941
2024-03-11,0.1451
2024-03-18,0.0680
2024-03-25,0.1244
